"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1195.3,358.59
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1195.3,358.59
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1195.3,358.59
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1211.62,363.486
"5","CARRIER","50PCH006",0.4,0.4,1360.8,408.24
"6","CARRIER","50PCV006",0.4,0.4,1360.8,408.24
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1403.1,420.93
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1431.14,429.342
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1431.14,429.342
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1438.04,431.412
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1505.16,451.548
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1505.16,451.548
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1505.16,451.548
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1505.16,451.548
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1538.26,461.478
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1538.26,461.478
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1570.9,471.27
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1570.9,471.27
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1570.9,471.27
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,1572.28,471.684
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,1572.28,471.684
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1572.28,471.684
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1604.92,481.476
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1619.86,485.958
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1671.12,501.336
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1671.81,501.543
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1671.81,501.543
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1672.04,501.612
"29","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1673.42,502.026
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1673.42,502.026
"31","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1673.42,502.026
"32","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1673.42,502.026
"33","KELVINATOR","KSV26NRC",0.5,0.52,1701.92,510.576
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1705.6,511.68
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,1707.44,512.232
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,1707.44,512.232
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1707.44,512.232
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1707.44,512.232
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1707.44,512.232
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,1707.44,512.232
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1707.44,512.232
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1738.24,521.472
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1738.24,521.472
"44","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1738.24,521.472
"45","DAIKIN","FTXM25P / RXM25P",0.51,0.65,1741.46,522.438
"46","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,1741.46,522.438
"47","FUJITSU","ASTG09KUCA/AOTG09KUCA",0.51,0.67,1742.38,522.714
"48","PANASONIC","CS-HE9DKE / CU-HE9DKE",0.51,0.69,1743.3,522.99
"49","STIRLING","STR-23RSJAIF",0.52,0.59,1772.26,531.678
"50","TCL","TAC-09CHSA/AKI5",0.52,0.59,1772.26,531.678
"51","TCL","TAC-09CHSA/KaI5",0.52,0.59,1772.26,531.678
"52","TCL","TAC-09CHSA/CII5",0.52,0.59,1772.26,531.678
"53","TCL","TAC-09CHSA/CFI5",0.52,0.59,1772.26,531.678
"54","TCL","TAC-09CHSA/CEI5",0.52,0.59,1772.26,531.678
"55","TCL","TAC-09CHSA/CZI5",0.52,0.59,1772.26,531.678
"56","TCL","TAC-09CHSA/CTI5",0.52,0.59,1772.26,531.678
"57","TCL","TAC-09CHSA/CRI5",0.52,0.59,1772.26,531.678
"58","TCL","TAC-09CHSA/CQI5",0.52,0.59,1772.26,531.678
"59","TCL","TAC-09CHSA/CYI5",0.52,0.59,1772.26,531.678
"60","TCL","TAC-09CHSA/CPI5",0.52,0.59,1772.26,531.678
"61","TCL","TAC-09CHSA/CWI5",0.52,0.59,1772.26,531.678
"62","TCL","TAC-09CHSA/CVI5",0.52,0.59,1772.26,531.678
"63","TCL","TAC-09CHSA/CUI5",0.52,0.59,1772.26,531.678
"64","TCL","TAC-09CHSA/CNI5",0.52,0.59,1772.26,531.678
"65","TCL","TAC-09CHSA/CHI5",0.52,0.59,1772.26,531.678
"66","TCL","TAC-09CHSA/DFI5",0.52,0.59,1772.26,531.678
"67","TCL","TAC-09CHSA/DEI5",0.52,0.59,1772.26,531.678
"68","TCL","TAC-09CHSA/DCI5",0.52,0.59,1772.26,531.678
"69","TCL","TAC-09CHSA/DBI5",0.52,0.59,1772.26,531.678
"70","TCL","TAC-09CHSA/CDI5",0.52,0.59,1772.26,531.678
"71","TCL","TAC-09CHSA/CXI5",0.52,0.59,1772.26,531.678
"72","TCL","TAC-09CHSA/CAI5",0.52,0.59,1772.26,531.678
"73","TCL","TAC-09CHSA/CMI5",0.52,0.59,1772.26,531.678
"74","TCL","TAC-09CHSA/CJI5",0.52,0.59,1772.26,531.678
"75","TCL","TAC-09CHSA/CLI5",0.52,0.59,1772.26,531.678
"76","TCL","TAC-09CHSA/CKI5",0.52,0.59,1772.26,531.678
"77","TCL","TAC-09CHSA/CGI5",0.52,0.59,1772.26,531.678
"78","TCL","TAC-09CHSA/CBI5",0.52,0.59,1772.26,531.678
"79","TCL","TAC-09CHSA/AUI5",0.52,0.59,1772.26,531.678
"80","TCL","TAC-09CHSA/AMI5",0.52,0.59,1772.26,531.678
"81","TCL","TAC-09CHSA/ALI5",0.52,0.59,1772.26,531.678
"82","TCL","TAC-09CHSA/BLI5",0.52,0.59,1772.26,531.678
"83","TCL","TAC-09CHSA/BZI5",0.52,0.59,1772.26,531.678
"84","TCL","TAC-09CHSA/BYI5",0.52,0.59,1772.26,531.678
"85","TCL","TAC-09CHSA/BVI5",0.52,0.59,1772.26,531.678
"86","TCL","TAC-09CHSA/BUI5",0.52,0.59,1772.26,531.678
"87","TCL","TAC-09CHSA/BRI5",0.52,0.59,1772.26,531.678
"88","TCL","TAC-09CHSA/BQI5",0.52,0.59,1772.26,531.678
"89","TCL","TAC-09CHSA/BKI5",0.52,0.59,1772.26,531.678
"90","TCL","TAC-09CHSA/BMI5",0.52,0.59,1772.26,531.678
"91","TCL","TAC-09CHSA/BJI5",0.52,0.59,1772.26,531.678
"92","TCL","TAC-09CHSA/BHI5",0.52,0.59,1772.26,531.678
"93","TCL","TAC-09CHSA/BGI5",0.52,0.59,1772.26,531.678
"94","TCL","TAC-09CHSA/BFI5",0.52,0.59,1772.26,531.678
"95","TCL","TAC-09CHSA/BEI5",0.52,0.59,1772.26,531.678
"96","TCL","TAC-09CHSA/BDI5",0.52,0.59,1772.26,531.678
"97","TCL","TAC-09CHSA/ZI5",0.52,0.59,1772.26,531.678
"98","TCL","TAC-09CHSA/YI5",0.52,0.59,1772.26,531.678
"99","TCL","TAC-09CHSA/VI5",0.52,0.59,1772.26,531.678
"100","TCL","TAC-09CHSA/QI5",0.52,0.59,1772.26,531.678
"101","TCL","TAC-09CHSA/AI5",0.52,0.59,1772.26,531.678
"102","TCL","TAC-09CHSA/RI5",0.52,0.59,1772.26,531.678
"103","TCL","TAC-09CHSA/NI5",0.52,0.59,1772.26,531.678
"104","TCL","TAC-09CHSA/MI5",0.52,0.59,1772.26,531.678
"105","TCL","TAC-09CHSA/LI5",0.52,0.59,1772.26,531.678
"106","TCL","TAC-09CHSA/KI5",0.52,0.59,1772.26,531.678
"107","TCL","TAC-09CHSA/JI5",0.52,0.59,1772.26,531.678
"108","TCL","TAC-09CHSA/HI5",0.52,0.59,1772.26,531.678
"109","TCL","TAC-09CHSA/GI5",0.52,0.59,1772.26,531.678
"110","TCL","TAC-09CHSA/FI5",0.52,0.59,1772.26,531.678
"111","TCL","TAC-09CHSA/EI5",0.52,0.59,1772.26,531.678
"112","TCL","TAC-09CHSA/DI5",0.52,0.59,1772.26,531.678
"113","TCL","TAC-09CHSA/CI5",0.52,0.59,1772.26,531.678
"114","AKAI","TEM-26CHSAAK5",0.52,0.59,1772.26,531.678
"115","AKAI","TEM-26CHSAKA5",0.52,0.59,1772.26,531.678
"116","TCL","TAC-09CHSA/AKI5",0.52,0.59,1772.26,531.678
"117","LG","P09AWN-NM14/P09AWN-UM14",0.52,0.65,1775.02,532.506
"118","LG","S09AWN-NM14/P09AWN-UM14",0.52,0.65,1775.02,532.506
"119","LG","W09AWN-NM14/P09AWN-UM14",0.52,0.65,1775.02,532.506
"120","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRF25ZMXA-S / SRC25ZMXA-S",0.52,0.72,1778.24,533.472
"121","MITSUBISHI HEAVY INDUSTRIES LTD.","SRF25ZJX-S",0.521,0.723,1781.734,534.5202
"122","MIDEA","MS1A-09HRFN1-QE0",0.54,0.6,1839.84,551.952
"123","SAIR","SGT-09",0.54,0.6,1839.84,551.952
"124","SAIR","SGT-09",0.54,0.6,1839.84,551.952
"125","MIDEA","MS1A-09HRFN1-QE0",0.54,0.6,1839.84,551.952
"126","DAIKIN","FTXJ25P / RXJ25P",0.54,0.7,1844.44,553.332
"127","DAIKIN","FTXS25L / RXS25L",0.54,0.7,1844.44,553.332
"128","DAIKIN","FVXG25K2 / RXG25L2",0.54,0.76,1847.2,554.16
"129","MITSUBISHI ELECTRIC","MFZ-KJ25VE / MUFZ-KJ25VE",0.54,0.77,1847.66,554.298
"130","HITACHI","RAS/C-25YHA4",0.55,0.68,1877.08,563.124
"131","MITSUBISHI ELECTRIC","MSZ-EF25VEW / MUZ-EF25VE",0.55,0.7,1878,563.4
"132","MITSUBISHI ELECTRIC","MSZ-EF25VEB / MUZ-EF25VE",0.55,0.7,1878,563.4
"133","MITSUBISHI ELECTRIC","MSZ-EF25VES / MUZ-EF25VE",0.55,0.7,1878,563.4
"134","Mitsubishi Electric","MSZ-EF25VE-A1",0.55,0.7,1878,563.4
"135","TOSHIBA","RAS-B10GKVP-E/RAS-10GAVP-E",0.55,0.71,1878.46,563.538
"136","TOSHIBA","RAS-B10GKVP-E/RAS-10GAVP-E",0.55,0.71,1878.46,563.538
"137","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06Z5-S",0.55,0.71,1878.46,563.538
"138","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMP-S",0.55,0.71,1878.46,563.538
"139","Panasonic","CS_CU-E9NKR",0.55,0.75,1880.3,564.09
"140","Panasonic","CS_CU-E9MKR",0.55,0.75,1880.3,564.09
"141","Panasonic","CS_CU-E9PKR",0.55,0.75,1880.3,564.09
"142","Tranquility","TRC-09",0.561,0.565,1908.706,572.6118
"143","SAMSUNG ELECTRONICS","AQV09UWLN/AQV09UWLX",0.56,0.7,1911.56,573.468
"144","SAMSUNG ELECTRONICS"," AQV09TWSN/AQV09TWSX",0.56,0.7,1911.56,573.468
"145","LG","E09AWN-NB11/R09AWN-UB11",0.56,0.73,1912.94,573.882
"146","LG","R09AWN-NB11/R09AWN-UB11",0.56,0.73,1912.94,573.882
"147","LG","M09AWN-NB11/R09AWN-UB11",0.56,0.73,1912.94,573.882
"148","LG","R09AWN-NB13/R09AWN-UB13",0.56,0.73,1912.94,573.882
"149","LG","E09AWN-NB13/R09AWN-UB13",0.56,0.73,1912.94,573.882
"150","LG","I09AWN-NB11/R09AWN-UB11",0.56,0.73,1912.94,573.882
"151","MITSUBISHI ELECTRIC","MSZ-GE25VAD/MUZ-GE25VAD",0.56,0.73,1912.94,573.882
"152","DAIKIN","FFQ25C2 / RXS25K3",0.56,0.8,1916.16,574.848
"153","BD-BingDian","FIV-25HS1(D)M / FUV-25HS1",0.57,0.7,1945.12,583.536
"154","DAIKIN","FTXR28K / RXR28K",0.57,0.71,1945.58,583.674
