"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1109.03,332.709
"2","CARRIER","50PCH006",0.4,0.4,1111.6,333.48
"3","CARRIER","50PCV006",0.4,0.4,1111.6,333.48
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1116.75,335.025
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1116.75,335.025
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1116.75,335.025
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1239.23,371.769
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1239.23,371.769
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1398.77,419.631
"10","KELVINATOR","KSV26NRC",0.5,0.52,1418.32,425.496
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1442.51,432.753
"12","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1455.38,436.614
"13","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1465.67,439.701
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1465.67,439.701
"15","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1465.67,439.701
"16","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1481.11,444.333
"17","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1481.11,444.333
"18","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1482.14,444.642
"19","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1482.14,444.642
"20","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1482.14,444.642
"21","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1482.14,444.642
"22","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1491.4,447.42
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1493.46,448.038
"24","Panasonic","CS_CU-E7MKR",0.46,0.62,1508.9,452.67
"25","Panasonic","CS_CU-E7NKR",0.46,0.62,1508.9,452.67
"26","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1508.9,452.67
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1513.015,453.9045
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1513.015,453.9045
"29","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1518.16,455.448
"30","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1518.16,455.448
"31","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1518.16,455.448
"32","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1520.22,456.066
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1533.6,460.08
"34","STIRLING","STR-23RSJAIF",0.52,0.59,1545.95,463.785
"35","TCL","TAC-09CHSA/AKI5",0.52,0.59,1545.95,463.785
"36","TCL","TAC-09CHSA/KaI5",0.52,0.59,1545.95,463.785
"37","TCL","TAC-09CHSA/CII5",0.52,0.59,1545.95,463.785
"38","TCL","TAC-09CHSA/CFI5",0.52,0.59,1545.95,463.785
"39","TCL","TAC-09CHSA/CEI5",0.52,0.59,1545.95,463.785
"40","TCL","TAC-09CHSA/CZI5",0.52,0.59,1545.95,463.785
"41","TCL","TAC-09CHSA/CTI5",0.52,0.59,1545.95,463.785
"42","TCL","TAC-09CHSA/CRI5",0.52,0.59,1545.95,463.785
"43","TCL","TAC-09CHSA/CQI5",0.52,0.59,1545.95,463.785
"44","TCL","TAC-09CHSA/CYI5",0.52,0.59,1545.95,463.785
"45","TCL","TAC-09CHSA/CPI5",0.52,0.59,1545.95,463.785
"46","TCL","TAC-09CHSA/CWI5",0.52,0.59,1545.95,463.785
"47","TCL","TAC-09CHSA/CVI5",0.52,0.59,1545.95,463.785
"48","TCL","TAC-09CHSA/CUI5",0.52,0.59,1545.95,463.785
"49","TCL","TAC-09CHSA/CNI5",0.52,0.59,1545.95,463.785
"50","TCL","TAC-09CHSA/CHI5",0.52,0.59,1545.95,463.785
"51","TCL","TAC-09CHSA/DFI5",0.52,0.59,1545.95,463.785
"52","TCL","TAC-09CHSA/DEI5",0.52,0.59,1545.95,463.785
"53","TCL","TAC-09CHSA/DCI5",0.52,0.59,1545.95,463.785
"54","TCL","TAC-09CHSA/DBI5",0.52,0.59,1545.95,463.785
"55","TCL","TAC-09CHSA/CDI5",0.52,0.59,1545.95,463.785
"56","TCL","TAC-09CHSA/CXI5",0.52,0.59,1545.95,463.785
"57","TCL","TAC-09CHSA/CAI5",0.52,0.59,1545.95,463.785
"58","TCL","TAC-09CHSA/CMI5",0.52,0.59,1545.95,463.785
"59","TCL","TAC-09CHSA/CJI5",0.52,0.59,1545.95,463.785
"60","TCL","TAC-09CHSA/CLI5",0.52,0.59,1545.95,463.785
"61","TCL","TAC-09CHSA/CKI5",0.52,0.59,1545.95,463.785
