"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1374.95,412.485
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1374.95,412.485
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1374.95,412.485
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1378.525,413.5575
"5","CARRIER","50PCH006",0.4,0.4,1459.6,437.88
"6","CARRIER","50PCV006",0.4,0.4,1459.6,437.88
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1581.48,474.444
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1581.48,474.444
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1672.13,501.639
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1728.18,518.454
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1781.6,534.48
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1781.6,534.48
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1781.6,534.48
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1781.6,534.48
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1798.53,539.559
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1798.53,539.559
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1805.68,541.704
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1805.68,541.704
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1805.68,541.704
"20","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1816.405,544.9215
