"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,761.6,228.48
"2","CARRIER","50PCV006",0.4,0.4,761.6,228.48
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,768.91,230.673
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,775.8,232.74
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,775.8,232.74
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,775.8,232.74
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,854.38,256.314
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,854.38,256.314
"9","KELVINATOR","KSV26NRC",0.5,0.52,973.88,292.164
"10","DAIKIN","FTXM20P / RXM20P",0.41,0.59,977.56,293.268
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,997.39,299.217
"12","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1018.06,305.418
"13","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1018.06,305.418
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1018.06,305.418
"15","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1018.48,305.544
"16","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1031.42,309.426
"17","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1031.84,309.552
"18","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1031.84,309.552
"19","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1034.68,310.404
"20","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1034.68,310.404
"21","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1034.68,310.404
"22","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1034.68,310.404
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1037.1,311.13
"24","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1047.62,314.286
