"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1528.2,458.46
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1528.2,458.46
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1528.2,458.46
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1544.725,463.4175
"5","CARRIER","50PCH006",0.4,0.4,1709.6,512.88
"6","CARRIER","50PCV006",0.4,0.4,1709.6,512.88
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1810.48,543.144
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1811.23,543.369
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1811.23,543.369
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1859.68,557.904
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1938.7,581.61
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1938.7,581.61
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1938.7,581.61
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1938.7,581.61
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1974.98,592.494
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1974.98,592.494
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2008.03,602.409
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2008.03,602.409
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2008.03,602.409
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,2017.72,605.316
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,2017.72,605.316
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2017.72,605.316
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2050.77,615.231
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2057.605,617.2815
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2123.33,636.999
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2128.175,638.4525
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2128.175,638.4525
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2129.79,638.937
"29","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2139.48,641.844
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2139.48,641.844
"31","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2139.48,641.844
"32","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2139.48,641.844
"33","KELVINATOR","KSV26NRC",0.5,0.52,2143.46,643.038
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2169.3,650.79
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2182.22,654.666
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2182.22,654.666
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2182.22,654.666
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2182.22,654.666
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2182.22,654.666
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2182.22,654.666
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2182.22,654.666
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2202.35,660.705
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2202.35,660.705
"44","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2202.35,660.705
"45","DAIKIN","FTXM25P / RXM25P",0.51,0.65,2224.96,667.488
"46","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,2224.96,667.488
"47","FUJITSU","ASTG09KUCA/AOTG09KUCA",0.51,0.67,2231.42,669.426
"48","PANASONIC","CS-HE9DKE / CU-HE9DKE",0.51,0.69,2237.88,671.364
"49","STIRLING","STR-23RSJAIF",0.52,0.59,2245.09,673.527
"50","TCL","TAC-09CHSA/AKI5",0.52,0.59,2245.09,673.527
"51","TCL","TAC-09CHSA/KaI5",0.52,0.59,2245.09,673.527
"52","TCL","TAC-09CHSA/CII5",0.52,0.59,2245.09,673.527
"53","TCL","TAC-09CHSA/CFI5",0.52,0.59,2245.09,673.527
"54","TCL","TAC-09CHSA/CEI5",0.52,0.59,2245.09,673.527
"55","TCL","TAC-09CHSA/CZI5",0.52,0.59,2245.09,673.527
"56","TCL","TAC-09CHSA/CTI5",0.52,0.59,2245.09,673.527
"57","TCL","TAC-09CHSA/CRI5",0.52,0.59,2245.09,673.527
"58","TCL","TAC-09CHSA/CQI5",0.52,0.59,2245.09,673.527
"59","TCL","TAC-09CHSA/CYI5",0.52,0.59,2245.09,673.527
"60","TCL","TAC-09CHSA/CPI5",0.52,0.59,2245.09,673.527
