"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,718.95,215.685
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,718.95,215.685
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,718.95,215.685
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,721.68,216.504
"5","CARRIER","50PCH006",0.4,0.4,769.2,230.76
"6","CARRIER","50PCV006",0.4,0.4,769.2,230.76
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,830.61,249.183
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,830.61,249.183
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,871.05,261.315
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,899.46,269.838
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,928.74,278.622
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,928.74,278.622
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,928.74,278.622
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,928.74,278.622
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,938.79,281.637
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,938.79,281.637
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,944.25,283.275
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,944.25,283.275
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,944.25,283.275
"20","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,952.44,285.732
"21","Panasonic","CS_CU-E7MKR",0.46,0.62,958.02,287.406
"22","Panasonic","CS_CU-E7NKR",0.46,0.62,958.02,287.406
"23","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,958.02,287.406
"24","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,963.48,289.044
"25","KELVINATOR","KSV26NRC",0.5,0.52,970.68,291.204
"26","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,983.58,295.074
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,990.465,297.1395
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,990.465,297.1395
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,992.76,297.828
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1006.53,301.959
"31","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1006.53,301.959
"32","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1006.53,301.959
"33","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1006.53,301.959
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1007.4,302.22
"35","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1012.86,303.858
"36","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1012.86,303.858
"37","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1012.86,303.858
"38","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,1025.76,307.728
"39","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,1025.76,307.728
"40","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1025.76,307.728
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1025.76,307.728
"42","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1025.76,307.728
"43","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,1025.76,307.728
"44","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1025.76,307.728
"45","STIRLING","STR-23RSJAIF",0.52,0.59,1032.09,309.627
"46","TCL","TAC-09CHSA/AKI5",0.52,0.59,1032.09,309.627
"47","TCL","TAC-09CHSA/KaI5",0.52,0.59,1032.09,309.627
"48","TCL","TAC-09CHSA/CII5",0.52,0.59,1032.09,309.627
