"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1273.205,381.9615
"2","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1275.6,382.68
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1275.6,382.68
"4","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1275.6,382.68
"5","CARRIER","50PCH006",0.4,0.4,1314.4,394.32
"6","CARRIER","50PCV006",0.4,0.4,1314.4,394.32
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1442.87,432.861
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1442.87,432.861
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1573.16,471.948
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1631.12,489.336
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1667.525,500.2575
"12","KELVINATOR","KSV26NRC",0.5,0.52,1668.1,500.43
"13","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1671.74,501.522
"14","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1671.74,501.522
"15","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1671.74,501.522
"16","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1671.74,501.522
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1674.71,502.413
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1674.71,502.413
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1674.71,502.413
"20","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1679.5,503.85
"21","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1679.5,503.85
"22","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1707.57,512.271
"23","Panasonic","CS_CU-E7MKR",0.46,0.62,1712.36,513.708
"24","Panasonic","CS_CU-E7NKR",0.46,0.62,1712.36,513.708
"25","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1712.36,513.708
"26","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1723.09,516.927
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1741.915,522.5745
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1741.915,522.5745
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1748.19,524.457
"30","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1763.71,529.113
"31","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1763.71,529.113
"32","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1763.71,529.113
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1768.5,530.55
"34","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1785.84,535.752
"35","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1785.84,535.752
"36","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1785.84,535.752
"37","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1785.84,535.752
"38","STIRLING","STR-23RSJAIF",0.52,0.59,1796.57,538.971
"39","TCL","TAC-09CHSA/AKI5",0.52,0.59,1796.57,538.971
"40","TCL","TAC-09CHSA/KaI5",0.52,0.59,1796.57,538.971
"41","TCL","TAC-09CHSA/CII5",0.52,0.59,1796.57,538.971
"42","TCL","TAC-09CHSA/CFI5",0.52,0.59,1796.57,538.971
"43","TCL","TAC-09CHSA/CEI5",0.52,0.59,1796.57,538.971
"44","TCL","TAC-09CHSA/CZI5",0.52,0.59,1796.57,538.971
"45","TCL","TAC-09CHSA/CTI5",0.52,0.59,1796.57,538.971
"46","TCL","TAC-09CHSA/CRI5",0.52,0.59,1796.57,538.971
"47","TCL","TAC-09CHSA/CQI5",0.52,0.59,1796.57,538.971
"48","TCL","TAC-09CHSA/CYI5",0.52,0.59,1796.57,538.971
