"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1545.8,463.74
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1545.8,463.74
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1545.8,463.74
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1550.6,465.18
"5","CARRIER","50PCH006",0.4,0.4,1646.4,493.92
"6","CARRIER","50PCV006",0.4,0.4,1646.4,493.92
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1781.32,534.396
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1781.32,534.396
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1876.92,563.076
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1939.12,581.736
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,2000.4,600.12
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,2000.4,600.12
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,2000.4,600.12
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,2000.4,600.12
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,2020.52,606.156
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,2020.52,606.156
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2030.12,609.036
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2030.12,609.036
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2030.12,609.036
"20","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2044.52,613.356
"21","Panasonic","CS_CU-E7MKR",0.46,0.62,2061.68,618.504
"22","Panasonic","CS_CU-E7NKR",0.46,0.62,2061.68,618.504
"23","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2061.68,618.504
"24","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2071.28,621.384
"25","KELVINATOR","KSV26NRC",0.5,0.52,2079.04,623.712
"26","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2111.52,633.456
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2127.3,638.19
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2127.3,638.19
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2132.56,639.768
"30","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2163.2,648.96
"31","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2164.12,649.236
"32","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2164.12,649.236
"33","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2164.12,649.236
"34","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2164.12,649.236
"35","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2172.8,651.84
"36","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2172.8,651.84
"37","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2172.8,651.84
"38","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2205.28,661.584
"39","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2205.28,661.584
"40","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2205.28,661.584
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2205.28,661.584
"42","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2205.28,661.584
"43","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2205.28,661.584
"44","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2205.28,661.584
"45","STIRLING","STR-23RSJAIF",0.52,0.59,2213.96,664.188
"46","TCL","TAC-09CHSA/AKI5",0.52,0.59,2213.96,664.188
"47","TCL","TAC-09CHSA/KaI5",0.52,0.59,2213.96,664.188
"48","TCL","TAC-09CHSA/CII5",0.52,0.59,2213.96,664.188
"49","TCL","TAC-09CHSA/CFI5",0.52,0.59,2213.96,664.188
"50","TCL","TAC-09CHSA/CEI5",0.52,0.59,2213.96,664.188
"51","TCL","TAC-09CHSA/CZI5",0.52,0.59,2213.96,664.188
"52","TCL","TAC-09CHSA/CTI5",0.52,0.59,2213.96,664.188
"53","TCL","TAC-09CHSA/CRI5",0.52,0.59,2213.96,664.188
"54","TCL","TAC-09CHSA/CQI5",0.52,0.59,2213.96,664.188
"55","TCL","TAC-09CHSA/CYI5",0.52,0.59,2213.96,664.188
"56","TCL","TAC-09CHSA/CPI5",0.52,0.59,2213.96,664.188
"57","TCL","TAC-09CHSA/CWI5",0.52,0.59,2213.96,664.188
"58","TCL","TAC-09CHSA/CVI5",0.52,0.59,2213.96,664.188
"59","TCL","TAC-09CHSA/CUI5",0.52,0.59,2213.96,664.188
"60","TCL","TAC-09CHSA/CNI5",0.52,0.59,2213.96,664.188
"61","TCL","TAC-09CHSA/CHI5",0.52,0.59,2213.96,664.188
"62","TCL","TAC-09CHSA/DFI5",0.52,0.59,2213.96,664.188
"63","TCL","TAC-09CHSA/DEI5",0.52,0.59,2213.96,664.188
"64","TCL","TAC-09CHSA/DCI5",0.52,0.59,2213.96,664.188
"65","TCL","TAC-09CHSA/DBI5",0.52,0.59,2213.96,664.188
"66","TCL","TAC-09CHSA/CDI5",0.52,0.59,2213.96,664.188
"67","TCL","TAC-09CHSA/CXI5",0.52,0.59,2213.96,664.188
"68","TCL","TAC-09CHSA/CAI5",0.52,0.59,2213.96,664.188
"69","TCL","TAC-09CHSA/CMI5",0.52,0.59,2213.96,664.188
"70","TCL","TAC-09CHSA/CJI5",0.52,0.59,2213.96,664.188
"71","TCL","TAC-09CHSA/CLI5",0.52,0.59,2213.96,664.188
"72","TCL","TAC-09CHSA/CKI5",0.52,0.59,2213.96,664.188
"73","TCL","TAC-09CHSA/CGI5",0.52,0.59,2213.96,664.188
"74","TCL","TAC-09CHSA/CBI5",0.52,0.59,2213.96,664.188
"75","TCL","TAC-09CHSA/AUI5",0.52,0.59,2213.96,664.188
"76","TCL","TAC-09CHSA/AMI5",0.52,0.59,2213.96,664.188
"77","TCL","TAC-09CHSA/ALI5",0.52,0.59,2213.96,664.188
"78","TCL","TAC-09CHSA/BLI5",0.52,0.59,2213.96,664.188
"79","TCL","TAC-09CHSA/BZI5",0.52,0.59,2213.96,664.188
"80","TCL","TAC-09CHSA/BYI5",0.52,0.59,2213.96,664.188
"81","TCL","TAC-09CHSA/BVI5",0.52,0.59,2213.96,664.188
"82","TCL","TAC-09CHSA/BUI5",0.52,0.59,2213.96,664.188
"83","TCL","TAC-09CHSA/BRI5",0.52,0.59,2213.96,664.188
"84","TCL","TAC-09CHSA/BQI5",0.52,0.59,2213.96,664.188
"85","TCL","TAC-09CHSA/BKI5",0.52,0.59,2213.96,664.188
"86","TCL","TAC-09CHSA/BMI5",0.52,0.59,2213.96,664.188
"87","TCL","TAC-09CHSA/BJI5",0.52,0.59,2213.96,664.188
"88","TCL","TAC-09CHSA/BHI5",0.52,0.59,2213.96,664.188
"89","TCL","TAC-09CHSA/BGI5",0.52,0.59,2213.96,664.188
"90","TCL","TAC-09CHSA/BFI5",0.52,0.59,2213.96,664.188
"91","TCL","TAC-09CHSA/BEI5",0.52,0.59,2213.96,664.188
"92","TCL","TAC-09CHSA/BDI5",0.52,0.59,2213.96,664.188
"93","TCL","TAC-09CHSA/ZI5",0.52,0.59,2213.96,664.188
"94","TCL","TAC-09CHSA/YI5",0.52,0.59,2213.96,664.188
"95","TCL","TAC-09CHSA/VI5",0.52,0.59,2213.96,664.188
