"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1089.6,326.88
"2","CARRIER","50PCV006",0.4,0.4,1089.6,326.88
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1171.36,351.408
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1193.8,358.14
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1193.8,358.14
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1193.8,358.14
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1264.28,379.284
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1264.28,379.284
"9","KELVINATOR","KSV26NRC",0.5,0.52,1410.08,423.024
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1498.24,449.472
"11","Tranquility","TRC-09",0.561,0.565,1537.78,461.334
"12","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1549.56,464.868
"13","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1551.12,465.336
"14","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1557.52,467.256
"15","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1557.52,467.256
"16","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1557.52,467.256
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1565.56,469.668
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1565.56,469.668
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1565.56,469.668
"20","CARRIER","50PSH009",0.575,0.5781,1573.7524,472.12572
"21","CARRIER","50PSV009",0.575,0.5781,1573.7524,472.12572
"22","CHIGO","CS-25V3A-PD/CS-25V3A-H5D",0.58,0.58,1579.92,473.976
"23","GREE","GJH07AF-K6RNB2D",0.66,0.57,1581.48,474.444
"24","GREE","GJH07AF-K6RNC2A",0.66,0.57,1581.48,474.444
"25","GREE","GJH07AF-K3RNB9D",0.66,0.57,1581.48,474.444
"26","KELVINATOR","KWH20HRE",0.66,0.57,1581.48,474.444
"27","STIRLING","STR-23RSJAIF",0.52,0.59,1584.76,475.428
"28","TCL","TAC-09CHSA/AKI5",0.52,0.59,1584.76,475.428
"29","TCL","TAC-09CHSA/KaI5",0.52,0.59,1584.76,475.428
"30","TCL","TAC-09CHSA/CII5",0.52,0.59,1584.76,475.428
"31","TCL","TAC-09CHSA/CFI5",0.52,0.59,1584.76,475.428
"32","TCL","TAC-09CHSA/CEI5",0.52,0.59,1584.76,475.428
"33","TCL","TAC-09CHSA/CZI5",0.52,0.59,1584.76,475.428
"34","TCL","TAC-09CHSA/CTI5",0.52,0.59,1584.76,475.428
"35","TCL","TAC-09CHSA/CRI5",0.52,0.59,1584.76,475.428
"36","TCL","TAC-09CHSA/CQI5",0.52,0.59,1584.76,475.428
"37","TCL","TAC-09CHSA/CYI5",0.52,0.59,1584.76,475.428
"38","TCL","TAC-09CHSA/CPI5",0.52,0.59,1584.76,475.428
"39","TCL","TAC-09CHSA/CWI5",0.52,0.59,1584.76,475.428
"40","TCL","TAC-09CHSA/CVI5",0.52,0.59,1584.76,475.428
"41","TCL","TAC-09CHSA/CUI5",0.52,0.59,1584.76,475.428
"42","TCL","TAC-09CHSA/CNI5",0.52,0.59,1584.76,475.428
"43","TCL","TAC-09CHSA/CHI5",0.52,0.59,1584.76,475.428
"44","TCL","TAC-09CHSA/DFI5",0.52,0.59,1584.76,475.428
"45","TCL","TAC-09CHSA/DEI5",0.52,0.59,1584.76,475.428
"46","TCL","TAC-09CHSA/DCI5",0.52,0.59,1584.76,475.428
"47","TCL","TAC-09CHSA/DBI5",0.52,0.59,1584.76,475.428
"48","TCL","TAC-09CHSA/CDI5",0.52,0.59,1584.76,475.428
"49","TCL","TAC-09CHSA/CXI5",0.52,0.59,1584.76,475.428
"50","TCL","TAC-09CHSA/CAI5",0.52,0.59,1584.76,475.428
"51","TCL","TAC-09CHSA/CMI5",0.52,0.59,1584.76,475.428
"52","TCL","TAC-09CHSA/CJI5",0.52,0.59,1584.76,475.428
"53","TCL","TAC-09CHSA/CLI5",0.52,0.59,1584.76,475.428
"54","TCL","TAC-09CHSA/CKI5",0.52,0.59,1584.76,475.428
"55","TCL","TAC-09CHSA/CGI5",0.52,0.59,1584.76,475.428
"56","TCL","TAC-09CHSA/CBI5",0.52,0.59,1584.76,475.428
"57","TCL","TAC-09CHSA/AUI5",0.52,0.59,1584.76,475.428
"58","TCL","TAC-09CHSA/AMI5",0.52,0.59,1584.76,475.428
"59","TCL","TAC-09CHSA/ALI5",0.52,0.59,1584.76,475.428
"60","TCL","TAC-09CHSA/BLI5",0.52,0.59,1584.76,475.428
"61","TCL","TAC-09CHSA/BZI5",0.52,0.59,1584.76,475.428
"62","TCL","TAC-09CHSA/BYI5",0.52,0.59,1584.76,475.428
"63","TCL","TAC-09CHSA/BVI5",0.52,0.59,1584.76,475.428
"64","TCL","TAC-09CHSA/BUI5",0.52,0.59,1584.76,475.428
"65","TCL","TAC-09CHSA/BRI5",0.52,0.59,1584.76,475.428
"66","TCL","TAC-09CHSA/BQI5",0.52,0.59,1584.76,475.428
"67","TCL","TAC-09CHSA/BKI5",0.52,0.59,1584.76,475.428
"68","TCL","TAC-09CHSA/BMI5",0.52,0.59,1584.76,475.428
"69","TCL","TAC-09CHSA/BJI5",0.52,0.59,1584.76,475.428
"70","TCL","TAC-09CHSA/BHI5",0.52,0.59,1584.76,475.428
"71","TCL","TAC-09CHSA/BGI5",0.52,0.59,1584.76,475.428
"72","TCL","TAC-09CHSA/BFI5",0.52,0.59,1584.76,475.428
"73","TCL","TAC-09CHSA/BEI5",0.52,0.59,1584.76,475.428
"74","TCL","TAC-09CHSA/BDI5",0.52,0.59,1584.76,475.428
"75","TCL","TAC-09CHSA/ZI5",0.52,0.59,1584.76,475.428
"76","TCL","TAC-09CHSA/YI5",0.52,0.59,1584.76,475.428
"77","TCL","TAC-09CHSA/VI5",0.52,0.59,1584.76,475.428
"78","TCL","TAC-09CHSA/QI5",0.52,0.59,1584.76,475.428
"79","TCL","TAC-09CHSA/AI5",0.52,0.59,1584.76,475.428
"80","TCL","TAC-09CHSA/RI5",0.52,0.59,1584.76,475.428
"81","TCL","TAC-09CHSA/NI5",0.52,0.59,1584.76,475.428
"82","TCL","TAC-09CHSA/MI5",0.52,0.59,1584.76,475.428
"83","TCL","TAC-09CHSA/LI5",0.52,0.59,1584.76,475.428
"84","TCL","TAC-09CHSA/KI5",0.52,0.59,1584.76,475.428
"85","TCL","TAC-09CHSA/JI5",0.52,0.59,1584.76,475.428
"86","TCL","TAC-09CHSA/HI5",0.52,0.59,1584.76,475.428
"87","TCL","TAC-09CHSA/GI5",0.52,0.59,1584.76,475.428
"88","TCL","TAC-09CHSA/FI5",0.52,0.59,1584.76,475.428
"89","TCL","TAC-09CHSA/EI5",0.52,0.59,1584.76,475.428
"90","TCL","TAC-09CHSA/DI5",0.52,0.59,1584.76,475.428
"91","TCL","TAC-09CHSA/CI5",0.52,0.59,1584.76,475.428
