"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,877.8,263.34
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,877.8,263.34
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,877.8,263.34
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,888.845,266.6535
"5","CARRIER","50PCH006",0.4,0.4,992.8,297.84
"6","CARRIER","50PCV006",0.4,0.4,992.8,297.84
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1034,310.2
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1046.99,314.097
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1046.99,314.097
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1060.64,318.192
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1108.46,332.538
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1108.46,332.538
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1108.46,332.538
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1108.46,332.538
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1131.46,339.438
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1131.46,339.438
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1153.55,346.065
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1153.55,346.065
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1153.55,346.065
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,1156.28,346.884
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,1156.28,346.884
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1156.28,346.884
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1178.37,353.511
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1186.685,356.0055
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1224.37,367.311
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1225.735,367.7205
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1225.735,367.7205
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1226.19,367.857
"29","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1228.92,368.676
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1228.92,368.676
"31","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1228.92,368.676
"32","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1228.92,368.676
"33","KELVINATOR","KSV26NRC",0.5,0.52,1242.82,372.846
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1250.1,375.03
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,1253.74,376.122
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,1253.74,376.122
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1253.74,376.122
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1253.74,376.122
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1253.74,376.122
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,1253.74,376.122
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1253.74,376.122
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1272.19,381.657
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1272.19,381.657
