"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1276,382.8
"2","CARRIER","50PCV006",0.4,0.4,1276,382.8
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1294.375,388.3125
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1307,392.1
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1307,392.1
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1307,392.1
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1435.05,430.515
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1435.05,430.515
"9","KELVINATOR","KSV26NRC",0.5,0.52,1633.1,489.93
"10","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1650.8,495.24
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1677.175,503.1525
"12","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1715.05,514.515
"13","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1715.05,514.515
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1715.05,514.515
"15","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1720.8,516.24
"16","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1734.55,520.365
"17","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1740.3,522.09
"18","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1740.3,522.09
"19","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1746.5,523.95
"20","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1746.5,523.95
"21","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1746.5,523.95
"22","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1746.5,523.95
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1746.95,524.085
"24","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1760.25,528.075
"25","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1760.25,528.075
"26","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1760.25,528.075
