"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1602.35,480.705
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1602.35,480.705
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1602.35,480.705
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1623.795,487.1385
"5","CARRIER","50PCH006",0.4,0.4,1821.2,546.36
"6","CARRIER","50PCV006",0.4,0.4,1821.2,546.36
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1882.57,564.771
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1916.66,574.998
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1916.66,574.998
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1929.86,578.958
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,2019.16,605.748
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,2019.16,605.748
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,2019.16,605.748
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,2019.16,605.748
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,2062.93,618.879
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,2062.93,618.879
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2105.82,631.746
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2105.82,631.746
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2105.82,631.746
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,2108.46,632.538
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,2108.46,632.538
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2108.46,632.538
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2151.35,645.405
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2170.155,651.0465
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2238.89,671.667
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2240.21,672.063
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2240.21,672.063
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2240.65,672.195
"29","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2243.29,672.987
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2243.29,672.987
"31","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2243.29,672.987
"32","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2243.29,672.987
"33","KELVINATOR","KSV26NRC",0.5,0.52,2278.26,683.478
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2285.3,685.59
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2288.82,686.646
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2288.82,686.646
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2288.82,686.646
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2288.82,686.646
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2288.82,686.646
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2288.82,686.646
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2288.82,686.646
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2328.19,698.457
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2328.19,698.457
"44","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2328.19,698.457
"45","DAIKIN","FTXM25P / RXM25P",0.51,0.65,2334.35,700.305
"46","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,2334.35,700.305
"47","FUJITSU","ASTG09KUCA/AOTG09KUCA",0.51,0.67,2336.11,700.833
"48","PANASONIC","CS-HE9DKE / CU-HE9DKE",0.51,0.69,2337.87,701.361
"49","STIRLING","STR-23RSJAIF",0.52,0.59,2373.72,712.116
"50","TCL","TAC-09CHSA/AKI5",0.52,0.59,2373.72,712.116
"51","TCL","TAC-09CHSA/KaI5",0.52,0.59,2373.72,712.116
"52","TCL","TAC-09CHSA/CII5",0.52,0.59,2373.72,712.116
"53","TCL","TAC-09CHSA/CFI5",0.52,0.59,2373.72,712.116
"54","TCL","TAC-09CHSA/CEI5",0.52,0.59,2373.72,712.116
"55","TCL","TAC-09CHSA/CZI5",0.52,0.59,2373.72,712.116
"56","TCL","TAC-09CHSA/CTI5",0.52,0.59,2373.72,712.116
"57","TCL","TAC-09CHSA/CRI5",0.52,0.59,2373.72,712.116
"58","TCL","TAC-09CHSA/CQI5",0.52,0.59,2373.72,712.116
"59","TCL","TAC-09CHSA/CYI5",0.52,0.59,2373.72,712.116
"60","TCL","TAC-09CHSA/CPI5",0.52,0.59,2373.72,712.116
"61","TCL","TAC-09CHSA/CWI5",0.52,0.59,2373.72,712.116
"62","TCL","TAC-09CHSA/CVI5",0.52,0.59,2373.72,712.116
"63","TCL","TAC-09CHSA/CUI5",0.52,0.59,2373.72,712.116
"64","TCL","TAC-09CHSA/CNI5",0.52,0.59,2373.72,712.116
