"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1134.4,340.32
"2","CARRIER","50PCV006",0.4,0.4,1134.4,340.32
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1238.235,371.4705
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1264.9,379.47
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1264.9,379.47
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1264.9,379.47
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1327.27,398.181
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1327.27,398.181
"9","KELVINATOR","KSV26NRC",0.5,0.52,1472.46,441.738
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1578.555,473.5665
"11","Tranquility","TRC-09",0.561,0.565,1601.888,480.5664
"12","GREE","GJH07AF-K6RNB2D",0.66,0.57,1626.69,488.007
"13","GREE","GJH07AF-K6RNC2A",0.66,0.57,1626.69,488.007
"14","GREE","GJH07AF-K3RNB9D",0.66,0.57,1626.69,488.007
"15","KELVINATOR","KWH20HRE",0.66,0.57,1626.69,488.007
"16","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1634.71,490.413
"17","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1636.97,491.091
"18","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1636.97,491.091
"19","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1636.97,491.091
"20","CARRIER","50PSH009",0.575,0.5781,1639.1413,491.74239
"21","CARRIER","50PSV009",0.575,0.5781,1639.1413,491.74239
"22","CHIGO","CS-25V3A-PD/CS-25V3A-H5D",0.58,0.58,1644.88,493.464
"23","LENNOX","LNWR21X",0.66,0.578,1648.474,494.5422
"24","YORK","YCAFZH007BAMAAFX",0.65,0.58,1652.79,495.837
"25","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1652.9,495.87
"26","MIDEA","MWF-07HB4",0.66,0.58,1653.92,496.176
"27","LENNOX","LNWR20X",0.66,0.58,1653.92,496.176
"28","TECO","TWW22HFBGJBB",0.66,0.58,1653.92,496.176
"29","TECO","TWW22HFAGJBB",0.66,0.58,1653.92,496.176
"30","Carrier","51QW107715G",0.66,0.58,1653.92,496.176
"31","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1658.55,497.565
"32","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1658.55,497.565
"33","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1658.55,497.565
"34","STIRLING","STR-23RSJAIF",0.52,0.59,1665.33,499.599
"35","TCL","TAC-09CHSA/AKI5",0.52,0.59,1665.33,499.599
"36","TCL","TAC-09CHSA/KaI5",0.52,0.59,1665.33,499.599
"37","TCL","TAC-09CHSA/CII5",0.52,0.59,1665.33,499.599
"38","TCL","TAC-09CHSA/CFI5",0.52,0.59,1665.33,499.599
"39","TCL","TAC-09CHSA/CEI5",0.52,0.59,1665.33,499.599
"40","TCL","TAC-09CHSA/CZI5",0.52,0.59,1665.33,499.599
"41","TCL","TAC-09CHSA/CTI5",0.52,0.59,1665.33,499.599
"42","TCL","TAC-09CHSA/CRI5",0.52,0.59,1665.33,499.599
"43","TCL","TAC-09CHSA/CQI5",0.52,0.59,1665.33,499.599
"44","TCL","TAC-09CHSA/CYI5",0.52,0.59,1665.33,499.599
"45","TCL","TAC-09CHSA/CPI5",0.52,0.59,1665.33,499.599
"46","TCL","TAC-09CHSA/CWI5",0.52,0.59,1665.33,499.599
"47","TCL","TAC-09CHSA/CVI5",0.52,0.59,1665.33,499.599
"48","TCL","TAC-09CHSA/CUI5",0.52,0.59,1665.33,499.599
"49","TCL","TAC-09CHSA/CNI5",0.52,0.59,1665.33,499.599
"50","TCL","TAC-09CHSA/CHI5",0.52,0.59,1665.33,499.599
"51","TCL","TAC-09CHSA/DFI5",0.52,0.59,1665.33,499.599
"52","TCL","TAC-09CHSA/DEI5",0.52,0.59,1665.33,499.599
"53","TCL","TAC-09CHSA/DCI5",0.52,0.59,1665.33,499.599
"54","TCL","TAC-09CHSA/DBI5",0.52,0.59,1665.33,499.599
"55","TCL","TAC-09CHSA/CDI5",0.52,0.59,1665.33,499.599
"56","TCL","TAC-09CHSA/CXI5",0.52,0.59,1665.33,499.599
"57","TCL","TAC-09CHSA/CAI5",0.52,0.59,1665.33,499.599
"58","TCL","TAC-09CHSA/CMI5",0.52,0.59,1665.33,499.599
"59","TCL","TAC-09CHSA/CJI5",0.52,0.59,1665.33,499.599
"60","TCL","TAC-09CHSA/CLI5",0.52,0.59,1665.33,499.599
"61","TCL","TAC-09CHSA/CKI5",0.52,0.59,1665.33,499.599
"62","TCL","TAC-09CHSA/CGI5",0.52,0.59,1665.33,499.599
"63","TCL","TAC-09CHSA/CBI5",0.52,0.59,1665.33,499.599
"64","TCL","TAC-09CHSA/AUI5",0.52,0.59,1665.33,499.599
"65","TCL","TAC-09CHSA/AMI5",0.52,0.59,1665.33,499.599
"66","TCL","TAC-09CHSA/ALI5",0.52,0.59,1665.33,499.599
"67","TCL","TAC-09CHSA/BLI5",0.52,0.59,1665.33,499.599
"68","TCL","TAC-09CHSA/BZI5",0.52,0.59,1665.33,499.599
"69","TCL","TAC-09CHSA/BYI5",0.52,0.59,1665.33,499.599
"70","TCL","TAC-09CHSA/BVI5",0.52,0.59,1665.33,499.599
"71","TCL","TAC-09CHSA/BUI5",0.52,0.59,1665.33,499.599
"72","TCL","TAC-09CHSA/BRI5",0.52,0.59,1665.33,499.599
"73","TCL","TAC-09CHSA/BQI5",0.52,0.59,1665.33,499.599
"74","TCL","TAC-09CHSA/BKI5",0.52,0.59,1665.33,499.599
"75","TCL","TAC-09CHSA/BMI5",0.52,0.59,1665.33,499.599
"76","TCL","TAC-09CHSA/BJI5",0.52,0.59,1665.33,499.599
"77","TCL","TAC-09CHSA/BHI5",0.52,0.59,1665.33,499.599
"78","TCL","TAC-09CHSA/BGI5",0.52,0.59,1665.33,499.599
"79","TCL","TAC-09CHSA/BFI5",0.52,0.59,1665.33,499.599
"80","TCL","TAC-09CHSA/BEI5",0.52,0.59,1665.33,499.599
"81","TCL","TAC-09CHSA/BDI5",0.52,0.59,1665.33,499.599
"82","TCL","TAC-09CHSA/ZI5",0.52,0.59,1665.33,499.599
"83","TCL","TAC-09CHSA/YI5",0.52,0.59,1665.33,499.599
"84","TCL","TAC-09CHSA/VI5",0.52,0.59,1665.33,499.599
"85","TCL","TAC-09CHSA/QI5",0.52,0.59,1665.33,499.599
"86","TCL","TAC-09CHSA/AI5",0.52,0.59,1665.33,499.599
"87","TCL","TAC-09CHSA/RI5",0.52,0.59,1665.33,499.599
"88","TCL","TAC-09CHSA/NI5",0.52,0.59,1665.33,499.599
"89","TCL","TAC-09CHSA/MI5",0.52,0.59,1665.33,499.599
"90","TCL","TAC-09CHSA/LI5",0.52,0.59,1665.33,499.599
"91","TCL","TAC-09CHSA/KI5",0.52,0.59,1665.33,499.599
"92","TCL","TAC-09CHSA/JI5",0.52,0.59,1665.33,499.599
"93","TCL","TAC-09CHSA/HI5",0.52,0.59,1665.33,499.599
"94","TCL","TAC-09CHSA/GI5",0.52,0.59,1665.33,499.599
"95","TCL","TAC-09CHSA/FI5",0.52,0.59,1665.33,499.599
"96","TCL","TAC-09CHSA/EI5",0.52,0.59,1665.33,499.599
"97","TCL","TAC-09CHSA/DI5",0.52,0.59,1665.33,499.599
"98","TCL","TAC-09CHSA/CI5",0.52,0.59,1665.33,499.599
"99","AKAI","TEM-26CHSAAK5",0.52,0.59,1665.33,499.599
"100","AKAI","TEM-26CHSAKA5",0.52,0.59,1665.33,499.599
"101","TCL","TAC-09CHSA/AKI5",0.52,0.59,1665.33,499.599
"102","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1675.555,502.6665
"103","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1675.555,502.6665
"104","HYUNDAI","HSH-073BE",0.65,0.59,1680.02,504.006
"105","WINIA","WSH-073BE",0.65,0.59,1680.02,504.006
"106","TCL","TAC-09CHSA/ZI4",0.65,0.59,1680.02,504.006
"107","VENTO","TAC-09CHSA/BVI4",0.65,0.59,1680.02,504.006
"108","York","YZHJZH009BAMAAFX",0.65,0.59,1680.02,504.006
