"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,903.6,271.08
"2","CARRIER","50PCV006",0.4,0.4,903.6,271.08
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,920.265,276.0795
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,929.85,278.955
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,929.85,278.955
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,929.85,278.955
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1018.38,305.514
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1018.38,305.514
"9","KELVINATOR","KSV26NRC",0.5,0.52,1157.34,347.202
"10","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1176.75,353.025
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1191.345,357.4035
"12","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1220.1,366.03
"13","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1220.1,366.03
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1220.1,366.03
"15","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1227.18,368.154
"16","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1232.19,369.657
"17","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1239.27,371.781
"18","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1239.27,371.781
"19","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1242.69,372.807
"20","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1244.52,373.356
"21","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1244.52,373.356
"22","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1244.52,373.356
"23","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1244.52,373.356
"24","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1249.53,374.859
"25","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1249.53,374.859
"26","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1249.53,374.859
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1253.07,375.921
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1253.07,375.921
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1260.03,378.009
"30","Panasonic","CS_CU-E7MKR",0.46,0.62,1261.86,378.558
"31","Panasonic","CS_CU-E7NKR",0.46,0.62,1261.86,378.558
"32","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1261.86,378.558
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1268.7,380.61
"34","STIRLING","STR-23RSJAIF",0.52,0.59,1272.12,381.636
"35","TCL","TAC-09CHSA/AKI5",0.52,0.59,1272.12,381.636
"36","TCL","TAC-09CHSA/KaI5",0.52,0.59,1272.12,381.636
"37","TCL","TAC-09CHSA/CII5",0.52,0.59,1272.12,381.636
"38","TCL","TAC-09CHSA/CFI5",0.52,0.59,1272.12,381.636
"39","TCL","TAC-09CHSA/CEI5",0.52,0.59,1272.12,381.636
"40","TCL","TAC-09CHSA/CZI5",0.52,0.59,1272.12,381.636
"41","TCL","TAC-09CHSA/CTI5",0.52,0.59,1272.12,381.636
"42","TCL","TAC-09CHSA/CRI5",0.52,0.59,1272.12,381.636
"43","TCL","TAC-09CHSA/CQI5",0.52,0.59,1272.12,381.636
