"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1605.65,481.695
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1605.65,481.695
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1605.65,481.695
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1628.555,488.5665
"5","CARRIER","50PCH006",0.4,0.4,1834.8,550.44
"6","CARRIER","50PCV006",0.4,0.4,1834.8,550.44
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1881.03,564.309
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1926.64,577.992
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1926.64,577.992
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1926.94,578.082
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,2018.64,605.592
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,2018.64,605.592
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,2018.64,605.592
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,2018.64,605.592
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,2064.47,619.341
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,2064.47,619.341
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2110.28,633.084
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2110.28,633.084
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2110.28,633.084
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,2110.34,633.102
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,2110.34,633.102
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2110.34,633.102
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2156.15,646.845
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2178.995,653.6985
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2247.81,674.343
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2247.84,674.352
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2247.84,674.352
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2247.85,674.355
"29","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2247.91,674.373
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2247.91,674.373
"31","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2247.91,674.373
"32","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2247.91,674.373
"33","KELVINATOR","KSV26NRC",0.5,0.52,2293.54,688.062
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2293.7,688.11
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2293.78,688.134
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2293.78,688.134
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2293.78,688.134
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2293.78,688.134
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2293.78,688.134
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2293.78,688.134
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2293.78,688.134
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2339.51,701.853
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2339.51,701.853
"44","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2339.51,701.853
"45","DAIKIN","FTXM25P / RXM25P",0.51,0.65,2339.65,701.895
"46","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,2339.65,701.895
"47","FUJITSU","ASTG09KUCA/AOTG09KUCA",0.51,0.67,2339.69,701.907
"48","PANASONIC","CS-HE9DKE / CU-HE9DKE",0.51,0.69,2339.73,701.919
"49","STIRLING","STR-23RSJAIF",0.52,0.59,2385.38,715.614
"50","TCL","TAC-09CHSA/AKI5",0.52,0.59,2385.38,715.614
"51","TCL","TAC-09CHSA/KaI5",0.52,0.59,2385.38,715.614
"52","TCL","TAC-09CHSA/CII5",0.52,0.59,2385.38,715.614
"53","TCL","TAC-09CHSA/CFI5",0.52,0.59,2385.38,715.614
"54","TCL","TAC-09CHSA/CEI5",0.52,0.59,2385.38,715.614
"55","TCL","TAC-09CHSA/CZI5",0.52,0.59,2385.38,715.614
"56","TCL","TAC-09CHSA/CTI5",0.52,0.59,2385.38,715.614
"57","TCL","TAC-09CHSA/CRI5",0.52,0.59,2385.38,715.614
"58","TCL","TAC-09CHSA/CQI5",0.52,0.59,2385.38,715.614
"59","TCL","TAC-09CHSA/CYI5",0.52,0.59,2385.38,715.614
"60","TCL","TAC-09CHSA/CPI5",0.52,0.59,2385.38,715.614
"61","TCL","TAC-09CHSA/CWI5",0.52,0.59,2385.38,715.614
"62","TCL","TAC-09CHSA/CVI5",0.52,0.59,2385.38,715.614
"63","TCL","TAC-09CHSA/CUI5",0.52,0.59,2385.38,715.614
"64","TCL","TAC-09CHSA/CNI5",0.52,0.59,2385.38,715.614
"65","TCL","TAC-09CHSA/CHI5",0.52,0.59,2385.38,715.614
"66","TCL","TAC-09CHSA/DFI5",0.52,0.59,2385.38,715.614
"67","TCL","TAC-09CHSA/DEI5",0.52,0.59,2385.38,715.614
"68","TCL","TAC-09CHSA/DCI5",0.52,0.59,2385.38,715.614
"69","TCL","TAC-09CHSA/DBI5",0.52,0.59,2385.38,715.614
"70","TCL","TAC-09CHSA/CDI5",0.52,0.59,2385.38,715.614
"71","TCL","TAC-09CHSA/CXI5",0.52,0.59,2385.38,715.614
"72","TCL","TAC-09CHSA/CAI5",0.52,0.59,2385.38,715.614
"73","TCL","TAC-09CHSA/CMI5",0.52,0.59,2385.38,715.614
"74","TCL","TAC-09CHSA/CJI5",0.52,0.59,2385.38,715.614
"75","TCL","TAC-09CHSA/CLI5",0.52,0.59,2385.38,715.614
"76","TCL","TAC-09CHSA/CKI5",0.52,0.59,2385.38,715.614
"77","TCL","TAC-09CHSA/CGI5",0.52,0.59,2385.38,715.614
"78","TCL","TAC-09CHSA/CBI5",0.52,0.59,2385.38,715.614
"79","TCL","TAC-09CHSA/AUI5",0.52,0.59,2385.38,715.614
"80","TCL","TAC-09CHSA/AMI5",0.52,0.59,2385.38,715.614
"81","TCL","TAC-09CHSA/ALI5",0.52,0.59,2385.38,715.614
"82","TCL","TAC-09CHSA/BLI5",0.52,0.59,2385.38,715.614
"83","TCL","TAC-09CHSA/BZI5",0.52,0.59,2385.38,715.614
"84","TCL","TAC-09CHSA/BYI5",0.52,0.59,2385.38,715.614
"85","TCL","TAC-09CHSA/BVI5",0.52,0.59,2385.38,715.614
"86","TCL","TAC-09CHSA/BUI5",0.52,0.59,2385.38,715.614
"87","TCL","TAC-09CHSA/BRI5",0.52,0.59,2385.38,715.614
"88","TCL","TAC-09CHSA/BQI5",0.52,0.59,2385.38,715.614
"89","TCL","TAC-09CHSA/BKI5",0.52,0.59,2385.38,715.614
"90","TCL","TAC-09CHSA/BMI5",0.52,0.59,2385.38,715.614
"91","TCL","TAC-09CHSA/BJI5",0.52,0.59,2385.38,715.614
"92","TCL","TAC-09CHSA/BHI5",0.52,0.59,2385.38,715.614
"93","TCL","TAC-09CHSA/BGI5",0.52,0.59,2385.38,715.614
"94","TCL","TAC-09CHSA/BFI5",0.52,0.59,2385.38,715.614
"95","TCL","TAC-09CHSA/BEI5",0.52,0.59,2385.38,715.614
"96","TCL","TAC-09CHSA/BDI5",0.52,0.59,2385.38,715.614
"97","TCL","TAC-09CHSA/ZI5",0.52,0.59,2385.38,715.614
"98","TCL","TAC-09CHSA/YI5",0.52,0.59,2385.38,715.614
"99","TCL","TAC-09CHSA/VI5",0.52,0.59,2385.38,715.614
"100","TCL","TAC-09CHSA/QI5",0.52,0.59,2385.38,715.614
"101","TCL","TAC-09CHSA/AI5",0.52,0.59,2385.38,715.614
"102","TCL","TAC-09CHSA/RI5",0.52,0.59,2385.38,715.614
"103","TCL","TAC-09CHSA/NI5",0.52,0.59,2385.38,715.614
