"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1078.8,323.64
"2","CARRIER","50PCV006",0.4,0.4,1078.8,323.64
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1150.385,345.1155
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1170.95,351.285
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1170.95,351.285
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1170.95,351.285
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1246.24,373.872
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1246.24,373.872
"9","KELVINATOR","KSV26NRC",0.5,0.52,1393.9,418.17
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1474.025,442.2075
"11","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1514.37,454.311
"12","Tranquility","TRC-09",0.561,0.565,1522.097,456.6291
"13","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1525.83,457.749
"14","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1534.37,460.311
"15","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1534.37,460.311
"16","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1534.37,460.311
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1535.72,460.716
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1535.72,460.716
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1535.72,460.716
"20","CARRIER","50PSH009",0.575,0.5781,1557.812,467.3436
"21","CARRIER","50PSV009",0.575,0.5781,1557.812,467.3436
"22","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1559.88,467.964
"23","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1559.88,467.964
"24","STIRLING","STR-23RSJAIF",0.52,0.59,1561.34,468.402
"25","TCL","TAC-09CHSA/AKI5",0.52,0.59,1561.34,468.402
"26","TCL","TAC-09CHSA/KaI5",0.52,0.59,1561.34,468.402
"27","TCL","TAC-09CHSA/CII5",0.52,0.59,1561.34,468.402
"28","TCL","TAC-09CHSA/CFI5",0.52,0.59,1561.34,468.402
"29","TCL","TAC-09CHSA/CEI5",0.52,0.59,1561.34,468.402
"30","TCL","TAC-09CHSA/CZI5",0.52,0.59,1561.34,468.402
"31","TCL","TAC-09CHSA/CTI5",0.52,0.59,1561.34,468.402
"32","TCL","TAC-09CHSA/CRI5",0.52,0.59,1561.34,468.402
"33","TCL","TAC-09CHSA/CQI5",0.52,0.59,1561.34,468.402
"34","TCL","TAC-09CHSA/CYI5",0.52,0.59,1561.34,468.402
"35","TCL","TAC-09CHSA/CPI5",0.52,0.59,1561.34,468.402
"36","TCL","TAC-09CHSA/CWI5",0.52,0.59,1561.34,468.402
"37","TCL","TAC-09CHSA/CVI5",0.52,0.59,1561.34,468.402
"38","TCL","TAC-09CHSA/CUI5",0.52,0.59,1561.34,468.402
"39","TCL","TAC-09CHSA/CNI5",0.52,0.59,1561.34,468.402
"40","TCL","TAC-09CHSA/CHI5",0.52,0.59,1561.34,468.402
"41","TCL","TAC-09CHSA/DFI5",0.52,0.59,1561.34,468.402
"42","TCL","TAC-09CHSA/DEI5",0.52,0.59,1561.34,468.402
"43","TCL","TAC-09CHSA/DCI5",0.52,0.59,1561.34,468.402
"44","TCL","TAC-09CHSA/DBI5",0.52,0.59,1561.34,468.402
"45","TCL","TAC-09CHSA/CDI5",0.52,0.59,1561.34,468.402
