"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1185.2,355.56
"2","CARRIER","50PCV006",0.4,0.4,1185.2,355.56
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1192.37,357.711
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1202.35,360.705
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1202.35,360.705
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1202.35,360.705
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1327.11,398.133
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1327.11,398.133
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1512.37,453.711
"10","KELVINATOR","KSV26NRC",0.5,0.52,1514.56,454.368
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1547.93,464.379
"12","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1575.06,472.518
"13","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1577.87,473.361
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1577.87,473.361
"15","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1577.87,473.361
"16","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1597.83,479.349
"17","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1597.83,479.349
"18","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1600.64,480.192
"19","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1601.26,480.378
"20","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1601.26,480.378
"21","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1601.26,480.378
"22","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1601.26,480.378
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1607.5,482.25
"24","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1625.435,487.6305
"25","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1625.435,487.6305
"26","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1626.84,488.052
"27","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1626.84,488.052
"28","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1626.84,488.052
"29","Panasonic","CS_CU-E7MKR",0.46,0.62,1627.46,488.238
"30","Panasonic","CS_CU-E7NKR",0.46,0.62,1627.46,488.238
"31","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1627.46,488.238
"32","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1633.7,490.11
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1646.8,494.04
"34","STIRLING","STR-23RSJAIF",0.52,0.59,1656.47,496.941
"35","TCL","TAC-09CHSA/AKI5",0.52,0.59,1656.47,496.941
"36","TCL","TAC-09CHSA/KaI5",0.52,0.59,1656.47,496.941
"37","TCL","TAC-09CHSA/CII5",0.52,0.59,1656.47,496.941
"38","TCL","TAC-09CHSA/CFI5",0.52,0.59,1656.47,496.941
"39","TCL","TAC-09CHSA/CEI5",0.52,0.59,1656.47,496.941
"40","TCL","TAC-09CHSA/CZI5",0.52,0.59,1656.47,496.941
"41","TCL","TAC-09CHSA/CTI5",0.52,0.59,1656.47,496.941
"42","TCL","TAC-09CHSA/CRI5",0.52,0.59,1656.47,496.941
"43","TCL","TAC-09CHSA/CQI5",0.52,0.59,1656.47,496.941
"44","TCL","TAC-09CHSA/CYI5",0.52,0.59,1656.47,496.941
"45","TCL","TAC-09CHSA/CPI5",0.52,0.59,1656.47,496.941
"46","TCL","TAC-09CHSA/CWI5",0.52,0.59,1656.47,496.941
"47","TCL","TAC-09CHSA/CVI5",0.52,0.59,1656.47,496.941
"48","TCL","TAC-09CHSA/CUI5",0.52,0.59,1656.47,496.941
"49","TCL","TAC-09CHSA/CNI5",0.52,0.59,1656.47,496.941
"50","TCL","TAC-09CHSA/CHI5",0.52,0.59,1656.47,496.941
