"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1423.65,427.095
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1423.65,427.095
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1423.65,427.095
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1435.215,430.5645
"5","CARRIER","50PCH006",0.4,0.4,1566,469.8
"6","CARRIER","50PCV006",0.4,0.4,1566,469.8
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1671,501.3
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1671,501.3
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1701.27,510.381
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1751.1,525.33
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1818.72,545.616
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1818.72,545.616
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1818.72,545.616
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1818.72,545.616
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1847.19,554.157
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1847.19,554.157
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1870.32,561.096
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1870.32,561.096
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1870.32,561.096
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,1886.34,565.902
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,1886.34,565.902
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1886.34,565.902
"23","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1905.015,571.5045
"24","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1909.47,572.841
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1966.41,589.923
"26","KELVINATOR","KSV26NRC",0.5,0.52,1968.18,590.454
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1974.42,592.326
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1974.42,592.326
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1977.09,593.127
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1993.11,597.933
"31","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1993.11,597.933
"32","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1993.11,597.933
"33","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1993.11,597.933
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2010.9,603.27
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2032.26,609.678
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2032.26,609.678
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2032.26,609.678
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2032.26,609.678
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2032.26,609.678
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2032.26,609.678
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2032.26,609.678
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2034.03,610.209
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2034.03,610.209
"44","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2034.03,610.209
"45","DAIKIN","FTXM25P / RXM25P",0.51,0.65,2071.41,621.423
"46","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,2071.41,621.423
"47","STIRLING","STR-23RSJAIF",0.52,0.59,2073.18,621.954
"48","TCL","TAC-09CHSA/AKI5",0.52,0.59,2073.18,621.954
"49","TCL","TAC-09CHSA/KaI5",0.52,0.59,2073.18,621.954
"50","TCL","TAC-09CHSA/CII5",0.52,0.59,2073.18,621.954
"51","TCL","TAC-09CHSA/CFI5",0.52,0.59,2073.18,621.954
"52","TCL","TAC-09CHSA/CEI5",0.52,0.59,2073.18,621.954
"53","TCL","TAC-09CHSA/CZI5",0.52,0.59,2073.18,621.954
"54","TCL","TAC-09CHSA/CTI5",0.52,0.59,2073.18,621.954
"55","TCL","TAC-09CHSA/CRI5",0.52,0.59,2073.18,621.954
"56","TCL","TAC-09CHSA/CQI5",0.52,0.59,2073.18,621.954
"57","TCL","TAC-09CHSA/CYI5",0.52,0.59,2073.18,621.954
"58","TCL","TAC-09CHSA/CPI5",0.52,0.59,2073.18,621.954
"59","TCL","TAC-09CHSA/CWI5",0.52,0.59,2073.18,621.954
"60","TCL","TAC-09CHSA/CVI5",0.52,0.59,2073.18,621.954
"61","TCL","TAC-09CHSA/CUI5",0.52,0.59,2073.18,621.954
"62","TCL","TAC-09CHSA/CNI5",0.52,0.59,2073.18,621.954
"63","TCL","TAC-09CHSA/CHI5",0.52,0.59,2073.18,621.954
"64","TCL","TAC-09CHSA/DFI5",0.52,0.59,2073.18,621.954
"65","TCL","TAC-09CHSA/DEI5",0.52,0.59,2073.18,621.954
"66","TCL","TAC-09CHSA/DCI5",0.52,0.59,2073.18,621.954
"67","TCL","TAC-09CHSA/DBI5",0.52,0.59,2073.18,621.954
"68","TCL","TAC-09CHSA/CDI5",0.52,0.59,2073.18,621.954
"69","TCL","TAC-09CHSA/CXI5",0.52,0.59,2073.18,621.954
"70","TCL","TAC-09CHSA/CAI5",0.52,0.59,2073.18,621.954
"71","TCL","TAC-09CHSA/CMI5",0.52,0.59,2073.18,621.954
"72","TCL","TAC-09CHSA/CJI5",0.52,0.59,2073.18,621.954
"73","TCL","TAC-09CHSA/CLI5",0.52,0.59,2073.18,621.954
"74","TCL","TAC-09CHSA/CKI5",0.52,0.59,2073.18,621.954
"75","TCL","TAC-09CHSA/CGI5",0.52,0.59,2073.18,621.954
"76","TCL","TAC-09CHSA/CBI5",0.52,0.59,2073.18,621.954
"77","TCL","TAC-09CHSA/AUI5",0.52,0.59,2073.18,621.954
"78","TCL","TAC-09CHSA/AMI5",0.52,0.59,2073.18,621.954
"79","TCL","TAC-09CHSA/ALI5",0.52,0.59,2073.18,621.954
"80","TCL","TAC-09CHSA/BLI5",0.52,0.59,2073.18,621.954
"81","TCL","TAC-09CHSA/BZI5",0.52,0.59,2073.18,621.954
"82","TCL","TAC-09CHSA/BYI5",0.52,0.59,2073.18,621.954
"83","TCL","TAC-09CHSA/BVI5",0.52,0.59,2073.18,621.954
"84","TCL","TAC-09CHSA/BUI5",0.52,0.59,2073.18,621.954
"85","TCL","TAC-09CHSA/BRI5",0.52,0.59,2073.18,621.954
"86","TCL","TAC-09CHSA/BQI5",0.52,0.59,2073.18,621.954
"87","TCL","TAC-09CHSA/BKI5",0.52,0.59,2073.18,621.954
"88","TCL","TAC-09CHSA/BMI5",0.52,0.59,2073.18,621.954
"89","TCL","TAC-09CHSA/BJI5",0.52,0.59,2073.18,621.954
"90","TCL","TAC-09CHSA/BHI5",0.52,0.59,2073.18,621.954
"91","TCL","TAC-09CHSA/BGI5",0.52,0.59,2073.18,621.954
"92","TCL","TAC-09CHSA/BFI5",0.52,0.59,2073.18,621.954
"93","TCL","TAC-09CHSA/BEI5",0.52,0.59,2073.18,621.954
