"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,600.45,180.135
"2","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,602.1,180.63
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,602.1,180.63
"4","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,602.1,180.63
"5","CARRIER","50PCH006",0.4,0.4,616.8,185.04
"6","CARRIER","50PCV006",0.4,0.4,616.8,185.04
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,678.84,203.652
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,678.84,203.652
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,744.54,223.362
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,772.44,231.732
"11","KELVINATOR","KSV26NRC",0.5,0.52,783.48,235.044
"12","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,785.49,235.647
"13","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,790.44,237.132
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,790.44,237.132
"15","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,790.44,237.132
"16","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,790.8,237.24
"17","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,790.8,237.24
"18","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,790.8,237.24
"19","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,790.8,237.24
"20","DAIKIN","FTXS20L / RXS20L",0.45,0.61,793.74,238.122
"21","DAIKIN","FTXS20K / RXS20K",0.45,0.61,793.74,238.122
"22","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,805.86,241.758
"23","Panasonic","CS_CU-E7MKR",0.46,0.62,809.16,242.748
"24","Panasonic","CS_CU-E7NKR",0.46,0.62,809.16,242.748
"25","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,809.16,242.748
"26","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,811.74,243.522
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,821.1,246.33
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,821.1,246.33
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,824.22,247.266
"30","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,830.1,249.03
"31","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,830.1,249.03
"32","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,830.1,249.03
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,833.4,250.02
"34","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,842.94,252.882
"35","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,842.94,252.882
"36","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,842.94,252.882
"37","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,842.94,252.882
"38","STIRLING","STR-23RSJAIF",0.52,0.59,845.52,253.656
"39","TCL","TAC-09CHSA/AKI5",0.52,0.59,845.52,253.656
"40","TCL","TAC-09CHSA/KaI5",0.52,0.59,845.52,253.656
"41","TCL","TAC-09CHSA/CII5",0.52,0.59,845.52,253.656
"42","TCL","TAC-09CHSA/CFI5",0.52,0.59,845.52,253.656
"43","TCL","TAC-09CHSA/CEI5",0.52,0.59,845.52,253.656
"44","TCL","TAC-09CHSA/CZI5",0.52,0.59,845.52,253.656
"45","TCL","TAC-09CHSA/CTI5",0.52,0.59,845.52,253.656
"46","TCL","TAC-09CHSA/CRI5",0.52,0.59,845.52,253.656
"47","TCL","TAC-09CHSA/CQI5",0.52,0.59,845.52,253.656
