"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1748.85,524.655
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1748.85,524.655
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1748.85,524.655
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1772.355,531.7065
"5","CARRIER","50PCH006",0.4,0.4,1988.4,596.52
"6","CARRIER","50PCV006",0.4,0.4,1988.4,596.52
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,2054.31,616.293
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,2092.32,627.696
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,2092.32,627.696
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,2105.82,631.746
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,2203.44,661.032
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,2203.44,661.032
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,2203.44,661.032
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,2203.44,661.032
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,2251.35,675.405
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,2251.35,675.405
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2298.36,689.508
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2298.36,689.508
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2298.36,689.508
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,2301.06,690.318
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,2301.06,690.318
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2301.06,690.318
