"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,2096.1,628.83
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,2096.1,628.83
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,2096.1,628.83
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,2125.88,637.764
"5","CARRIER","50PCH006",0.4,0.4,2394.4,718.32
"6","CARRIER","50PCV006",0.4,0.4,2394.4,718.32
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,2456.06,736.818
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,2514.62,754.386
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,2514.62,754.386
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,2516.12,754.836
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,2635.64,790.692
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,2635.64,790.692
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,2635.64,790.692
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,2635.64,790.692
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,2695.3,808.59
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,2695.3,808.59
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2754.86,826.458
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2754.86,826.458
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2754.86,826.458
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,2755.16,826.548
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,2755.16,826.548
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2755.16,826.548
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2814.72,844.416
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2844.2,853.26
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2934.04,880.212
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2934.19,880.257
