"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,983.95,295.185
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,983.95,295.185
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,983.95,295.185
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,994.195,298.2585
"5","CARRIER","50PCH006",0.4,0.4,1098,329.4
"6","CARRIER","50PCV006",0.4,0.4,1098,329.4
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1164.5,349.35
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1164.5,349.35
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1167.21,350.163
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1199.3,359.79
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1249.56,374.868
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1249.56,374.868
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1249.56,374.868
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1249.56,374.868
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1272.37,381.711
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1272.37,381.711
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1292.86,387.858
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1292.86,387.858
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1292.86,387.858
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,1299.82,389.946
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,1299.82,389.946
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1299.82,389.946
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1320.31,396.093
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1323.595,397.0785
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1365.93,409.779
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1369.41,410.823
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1369.41,410.823
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1370.57,411.171
"29","KELVINATOR","KSV26NRC",0.5,0.52,1377.14,413.142
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1377.53,413.259
"31","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1377.53,413.259
"32","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1377.53,413.259
"33","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1377.53,413.259
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1395.7,418.71
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,1404.98,421.494
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,1404.98,421.494
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1404.98,421.494
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1404.98,421.494
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1404.98,421.494
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,1404.98,421.494
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1404.98,421.494
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1416.19,424.857
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1416.19,424.857
