"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,788.685,236.6055
"2","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,790,237
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,790,237
"4","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,790,237
"5","CARRIER","50PCH006",0.4,0.4,815.2,244.56
"6","CARRIER","50PCV006",0.4,0.4,815.2,244.56
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,894.31,268.293
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,894.31,268.293
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,973.64,292.092
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1009.36,302.808
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1033.245,309.9735
"12","KELVINATOR","KSV26NRC",0.5,0.52,1034.34,310.302
"13","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1034.78,310.434
"14","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1034.78,310.434
"15","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1034.78,310.434
"16","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1034.78,310.434
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1037.19,311.157
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1037.19,311.157
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1037.19,311.157
"20","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1039.82,311.946
"21","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1039.82,311.946
"22","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1057.57,317.271
"23","Panasonic","CS_CU-E7MKR",0.46,0.62,1060.2,318.06
"24","Panasonic","CS_CU-E7NKR",0.46,0.62,1060.2,318.06
