"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1548.4,464.52
"2","CARRIER","50PCV006",0.4,0.4,1548.4,464.52
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1668.56,500.568
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1701.15,510.345
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1701.15,510.345
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1701.15,510.345
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1798.97,539.691
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1798.97,539.691
"9","KELVINATOR","KSV26NRC",0.5,0.52,2004.76,601.428
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2133.08,639.924
"11","Tranquility","TRC-09",0.561,0.565,2185.483,655.6449
"12","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2208.46,662.538
"13","DAIKIN","FTXM20P / RXM20P",0.41,0.59,2210.45,663.135
"14","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2216.62,664.986
"15","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2216.62,664.986
"16","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2216.62,664.986
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2230.85,669.255
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2230.85,669.255
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2230.85,669.255
"20","CARRIER","50PSH009",0.575,0.5781,2236.5603,670.96809
"21","CARRIER","50PSV009",0.575,0.5781,2236.5603,670.96809
"22","GREE","GJH07AF-K6RNB2D",0.66,0.57,2243.19,672.957
"23","GREE","GJH07AF-K6RNC2A",0.66,0.57,2243.19,672.957
"24","GREE","GJH07AF-K3RNB9D",0.66,0.57,2243.19,672.957
"25","KELVINATOR","KWH20HRE",0.66,0.57,2243.19,672.957
"26","CHIGO","CS-25V3A-PD/CS-25V3A-H5D",0.58,0.58,2245.18,673.554
"27","STIRLING","STR-23RSJAIF",0.52,0.59,2255.33,676.599
"28","TCL","TAC-09CHSA/AKI5",0.52,0.59,2255.33,676.599
"29","TCL","TAC-09CHSA/KaI5",0.52,0.59,2255.33,676.599
"30","TCL","TAC-09CHSA/CII5",0.52,0.59,2255.33,676.599
"31","TCL","TAC-09CHSA/CFI5",0.52,0.59,2255.33,676.599
"32","TCL","TAC-09CHSA/CEI5",0.52,0.59,2255.33,676.599
"33","TCL","TAC-09CHSA/CZI5",0.52,0.59,2255.33,676.599
"34","TCL","TAC-09CHSA/CTI5",0.52,0.59,2255.33,676.599
"35","TCL","TAC-09CHSA/CRI5",0.52,0.59,2255.33,676.599
"36","TCL","TAC-09CHSA/CQI5",0.52,0.59,2255.33,676.599
"37","TCL","TAC-09CHSA/CYI5",0.52,0.59,2255.33,676.599
"38","TCL","TAC-09CHSA/CPI5",0.52,0.59,2255.33,676.599
"39","TCL","TAC-09CHSA/CWI5",0.52,0.59,2255.33,676.599
"40","TCL","TAC-09CHSA/CVI5",0.52,0.59,2255.33,676.599
"41","TCL","TAC-09CHSA/CUI5",0.52,0.59,2255.33,676.599
"42","TCL","TAC-09CHSA/CNI5",0.52,0.59,2255.33,676.599
"43","TCL","TAC-09CHSA/CHI5",0.52,0.59,2255.33,676.599
"44","TCL","TAC-09CHSA/DFI5",0.52,0.59,2255.33,676.599
"45","TCL","TAC-09CHSA/DEI5",0.52,0.59,2255.33,676.599
"46","TCL","TAC-09CHSA/DCI5",0.52,0.59,2255.33,676.599
"47","TCL","TAC-09CHSA/DBI5",0.52,0.59,2255.33,676.599
"48","TCL","TAC-09CHSA/CDI5",0.52,0.59,2255.33,676.599
"49","TCL","TAC-09CHSA/CXI5",0.52,0.59,2255.33,676.599
"50","TCL","TAC-09CHSA/CAI5",0.52,0.59,2255.33,676.599
"51","TCL","TAC-09CHSA/CMI5",0.52,0.59,2255.33,676.599
"52","TCL","TAC-09CHSA/CJI5",0.52,0.59,2255.33,676.599
"53","TCL","TAC-09CHSA/CLI5",0.52,0.59,2255.33,676.599
"54","TCL","TAC-09CHSA/CKI5",0.52,0.59,2255.33,676.599
"55","TCL","TAC-09CHSA/CGI5",0.52,0.59,2255.33,676.599
"56","TCL","TAC-09CHSA/CBI5",0.52,0.59,2255.33,676.599
"57","TCL","TAC-09CHSA/AUI5",0.52,0.59,2255.33,676.599
"58","TCL","TAC-09CHSA/AMI5",0.52,0.59,2255.33,676.599
"59","TCL","TAC-09CHSA/ALI5",0.52,0.59,2255.33,676.599
"60","TCL","TAC-09CHSA/BLI5",0.52,0.59,2255.33,676.599
"61","TCL","TAC-09CHSA/BZI5",0.52,0.59,2255.33,676.599
"62","TCL","TAC-09CHSA/BYI5",0.52,0.59,2255.33,676.599
"63","TCL","TAC-09CHSA/BVI5",0.52,0.59,2255.33,676.599
"64","TCL","TAC-09CHSA/BUI5",0.52,0.59,2255.33,676.599
"65","TCL","TAC-09CHSA/BRI5",0.52,0.59,2255.33,676.599
"66","TCL","TAC-09CHSA/BQI5",0.52,0.59,2255.33,676.599
"67","TCL","TAC-09CHSA/BKI5",0.52,0.59,2255.33,676.599
"68","TCL","TAC-09CHSA/BMI5",0.52,0.59,2255.33,676.599
"69","TCL","TAC-09CHSA/BJI5",0.52,0.59,2255.33,676.599
"70","TCL","TAC-09CHSA/BHI5",0.52,0.59,2255.33,676.599
"71","TCL","TAC-09CHSA/BGI5",0.52,0.59,2255.33,676.599
"72","TCL","TAC-09CHSA/BFI5",0.52,0.59,2255.33,676.599
"73","TCL","TAC-09CHSA/BEI5",0.52,0.59,2255.33,676.599
"74","TCL","TAC-09CHSA/BDI5",0.52,0.59,2255.33,676.599
"75","TCL","TAC-09CHSA/ZI5",0.52,0.59,2255.33,676.599
