"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1322,396.6
"2","CARRIER","50PCV006",0.4,0.4,1322,396.6
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1372.26,411.678
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1390.85,417.255
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1390.85,417.255
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1390.85,417.255
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1505.15,451.545
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1505.15,451.545
"9","KELVINATOR","KSV26NRC",0.5,0.52,1699.32,509.796
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1768.86,530.658
"11","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1776.43,532.929
"12","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1824.63,547.389
"13","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1824.63,547.389
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1824.63,547.389
"15","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1830.14,549.042
"16","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1849.42,554.826
"17","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1849.42,554.826
"18","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1849.42,554.826
"19","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1856.3,556.89
"20","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1857.68,557.304
"21","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1861.81,558.543
"22","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1861.81,558.543
"23","Tranquility","TRC-09",0.561,0.565,1863.469,559.0407
"24","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1865.255,559.5765
"25","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1865.255,559.5765
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1875.58,562.674
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1875.58,562.674
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1875.58,562.674
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1875.58,562.674
"30","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1876.96,563.088
"31","STIRLING","STR-23RSJAIF",0.52,0.59,1882.47,564.741
"32","TCL","TAC-09CHSA/AKI5",0.52,0.59,1882.47,564.741
"33","TCL","TAC-09CHSA/KaI5",0.52,0.59,1882.47,564.741
"34","TCL","TAC-09CHSA/CII5",0.52,0.59,1882.47,564.741
"35","TCL","TAC-09CHSA/CFI5",0.52,0.59,1882.47,564.741
"36","TCL","TAC-09CHSA/CEI5",0.52,0.59,1882.47,564.741
"37","TCL","TAC-09CHSA/CZI5",0.52,0.59,1882.47,564.741
"38","TCL","TAC-09CHSA/CTI5",0.52,0.59,1882.47,564.741
"39","TCL","TAC-09CHSA/CRI5",0.52,0.59,1882.47,564.741
"40","TCL","TAC-09CHSA/CQI5",0.52,0.59,1882.47,564.741
"41","TCL","TAC-09CHSA/CYI5",0.52,0.59,1882.47,564.741
"42","TCL","TAC-09CHSA/CPI5",0.52,0.59,1882.47,564.741
"43","TCL","TAC-09CHSA/CWI5",0.52,0.59,1882.47,564.741
"44","TCL","TAC-09CHSA/CVI5",0.52,0.59,1882.47,564.741
"45","TCL","TAC-09CHSA/CUI5",0.52,0.59,1882.47,564.741
"46","TCL","TAC-09CHSA/CNI5",0.52,0.59,1882.47,564.741
"47","TCL","TAC-09CHSA/CHI5",0.52,0.59,1882.47,564.741
"48","TCL","TAC-09CHSA/DFI5",0.52,0.59,1882.47,564.741
"49","TCL","TAC-09CHSA/DEI5",0.52,0.59,1882.47,564.741
"50","TCL","TAC-09CHSA/DCI5",0.52,0.59,1882.47,564.741
"51","TCL","TAC-09CHSA/DBI5",0.52,0.59,1882.47,564.741
"52","TCL","TAC-09CHSA/CDI5",0.52,0.59,1882.47,564.741
"53","TCL","TAC-09CHSA/CXI5",0.52,0.59,1882.47,564.741
"54","TCL","TAC-09CHSA/CAI5",0.52,0.59,1882.47,564.741
"55","TCL","TAC-09CHSA/CMI5",0.52,0.59,1882.47,564.741
"56","TCL","TAC-09CHSA/CJI5",0.52,0.59,1882.47,564.741
"57","TCL","TAC-09CHSA/CLI5",0.52,0.59,1882.47,564.741
"58","TCL","TAC-09CHSA/CKI5",0.52,0.59,1882.47,564.741
"59","TCL","TAC-09CHSA/CGI5",0.52,0.59,1882.47,564.741
