"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1523.9,457.17
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1523.9,457.17
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1523.9,457.17
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1545.67,463.701
"5","CARRIER","50PCH006",0.4,0.4,1741.6,522.48
"6","CARRIER","50PCV006",0.4,0.4,1741.6,522.48
"7","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1785.14,535.542
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1828.68,548.604
"9","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1828.68,548.604
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1828.68,548.604
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1915.76,574.728
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1915.76,574.728
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1915.76,574.728
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1915.76,574.728
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1959.3,587.79
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1959.3,587.79
"17","Panasonic","CS_CU-E7MKR",0.46,0.62,2002.84,600.852
"18","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2002.84,600.852
"19","Panasonic","CS_CU-E7NKR",0.46,0.62,2002.84,600.852
"20","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2002.84,600.852
"21","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2002.84,600.852
"22","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2002.84,600.852
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2046.38,613.914
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2068.15,620.445
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2133.46,640.038
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2133.46,640.038
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2133.46,640.038
"28","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2133.46,640.038
"29","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2133.46,640.038
"30","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2133.46,640.038
"31","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2133.46,640.038
"32","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2133.46,640.038
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2177,653.1
"34","KELVINATOR","KSV26NRC",0.5,0.52,2177,653.1
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2177,653.1
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2177,653.1
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2177,653.1
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2177,653.1
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2177,653.1
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2177,653.1
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2177,653.1
"42","PANASONIC","CS-HE9DKE / CU-HE9DKE",0.51,0.69,2220.54,666.162
"43","DAIKIN","FTXM25P / RXM25P",0.51,0.65,2220.54,666.162
"44","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2220.54,666.162
"45","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2220.54,666.162
"46","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2220.54,666.162
"47","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,2220.54,666.162
"48","FUJITSU","ASTG09KUCA/AOTG09KUCA",0.51,0.67,2220.54,666.162
"49","LG","P09AWN-NM14/P09AWN-UM14",0.52,0.65,2264.08,679.224
"50","LG","S09AWN-NM14/P09AWN-UM14",0.52,0.65,2264.08,679.224
"51","LG","W09AWN-NM14/P09AWN-UM14",0.52,0.65,2264.08,679.224
"52","STIRLING","STR-23RSJAIF",0.52,0.59,2264.08,679.224
"53","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRF25ZMXA-S / SRC25ZMXA-S",0.52,0.72,2264.08,679.224
"54","TCL","TAC-09CHSA/AKI5",0.52,0.59,2264.08,679.224
"55","TCL","TAC-09CHSA/KaI5",0.52,0.59,2264.08,679.224
"56","TCL","TAC-09CHSA/CII5",0.52,0.59,2264.08,679.224
"57","TCL","TAC-09CHSA/CFI5",0.52,0.59,2264.08,679.224
