"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,784.3,235.29
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,784.3,235.29
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,784.3,235.29
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,791.775,237.5325
"5","CARRIER","50PCH006",0.4,0.4,870.4,261.12
"6","CARRIER","50PCV006",0.4,0.4,870.4,261.12
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,925.27,277.581
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,925.27,277.581
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,933.02,279.906
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,959.32,287.796
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,998.3,299.49
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,998.3,299.49
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,998.3,299.49
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,998.3,299.49
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1015.52,304.656
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1015.52,304.656
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1030.47,309.141
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1030.47,309.141
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1030.47,309.141
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,1037.28,311.184
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,1037.28,311.184
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1037.28,311.184
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1052.23,315.669
"24","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1052.895,315.8685
"25","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1086.67,326.001
"26","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1090.075,327.0225
"27","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1090.075,327.0225
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1091.21,327.363
"29","KELVINATOR","KSV26NRC",0.5,0.52,1092.54,327.762
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1098.02,329.406
"31","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,1098.02,329.406
"32","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,1098.02,329.406
"33","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,1098.02,329.406
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1110.7,333.21
"35","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,1119.78,335.934
"36","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,1119.78,335.934
"37","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1119.78,335.934
"38","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1119.78,335.934
"39","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,1119.78,335.934
"40","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,1119.78,335.934
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,1119.78,335.934
"42","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1125.65,337.695
"43","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1125.65,337.695
"44","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1125.65,337.695
"45","DAIKIN","FTXM25P / RXM25P",0.51,0.65,1141.54,342.462
"46","FUJITSU","ASTG09KMCA/AOTG09KMCA",0.51,0.65,1141.54,342.462
"47","FUJITSU","ASTG09KUCA/AOTG09KUCA",0.51,0.67,1146.08,343.824
"48","STIRLING","STR-23RSJAIF",0.52,0.59,1147.41,344.223
"49","TCL","TAC-09CHSA/AKI5",0.52,0.59,1147.41,344.223
"50","TCL","TAC-09CHSA/KaI5",0.52,0.59,1147.41,344.223
"51","TCL","TAC-09CHSA/CII5",0.52,0.59,1147.41,344.223
"52","TCL","TAC-09CHSA/CFI5",0.52,0.59,1147.41,344.223
"53","TCL","TAC-09CHSA/CEI5",0.52,0.59,1147.41,344.223
"54","TCL","TAC-09CHSA/CZI5",0.52,0.59,1147.41,344.223
"55","TCL","TAC-09CHSA/CTI5",0.52,0.59,1147.41,344.223
"56","TCL","TAC-09CHSA/CRI5",0.52,0.59,1147.41,344.223
"57","TCL","TAC-09CHSA/CQI5",0.52,0.59,1147.41,344.223
"58","TCL","TAC-09CHSA/CYI5",0.52,0.59,1147.41,344.223
"59","TCL","TAC-09CHSA/CPI5",0.52,0.59,1147.41,344.223
"60","TCL","TAC-09CHSA/CWI5",0.52,0.59,1147.41,344.223
"61","TCL","TAC-09CHSA/CVI5",0.52,0.59,1147.41,344.223
"62","TCL","TAC-09CHSA/CUI5",0.52,0.59,1147.41,344.223
"63","TCL","TAC-09CHSA/CNI5",0.52,0.59,1147.41,344.223
"64","TCL","TAC-09CHSA/CHI5",0.52,0.59,1147.41,344.223
"65","TCL","TAC-09CHSA/DFI5",0.52,0.59,1147.41,344.223
"66","TCL","TAC-09CHSA/DEI5",0.52,0.59,1147.41,344.223
"67","TCL","TAC-09CHSA/DCI5",0.52,0.59,1147.41,344.223
"68","TCL","TAC-09CHSA/DBI5",0.52,0.59,1147.41,344.223
"69","TCL","TAC-09CHSA/CDI5",0.52,0.59,1147.41,344.223
"70","TCL","TAC-09CHSA/CXI5",0.52,0.59,1147.41,344.223
"71","TCL","TAC-09CHSA/CAI5",0.52,0.59,1147.41,344.223
"72","TCL","TAC-09CHSA/CMI5",0.52,0.59,1147.41,344.223
"73","TCL","TAC-09CHSA/CJI5",0.52,0.59,1147.41,344.223
"74","TCL","TAC-09CHSA/CLI5",0.52,0.59,1147.41,344.223
"75","TCL","TAC-09CHSA/CKI5",0.52,0.59,1147.41,344.223
