"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,1632.4,489.72
"2","CARRIER","50PCV006",0.4,0.4,1632.4,489.72
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1765.04,529.512
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1800.45,540.135
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1800.45,540.135
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1800.45,540.135
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1900.07,570.021
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1900.07,570.021
"9","KELVINATOR","KSV26NRC",0.5,0.52,2114.92,634.476
"10","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,2254.76,676.428
"11","Tranquility","TRC-09",0.561,0.565,2304.325,691.2975
"12","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2334.58,700.374
"13","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2341.78,702.534
"14","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2341.78,702.534
"15","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2341.78,702.534
"16","DAIKIN","FTXM20P / RXM20P",0.41,0.59,2342.99,702.897
"17","CARRIER","50PSH009",0.575,0.5781,2358.1101,707.43303
"18","CARRIER","50PSV009",0.575,0.5781,2358.1101,707.43303
"19","GREE","GJH07AF-K6RNB2D",0.66,0.57,2358.57,707.571
"20","GREE","GJH07AF-K6RNC2A",0.66,0.57,2358.57,707.571
"21","GREE","GJH07AF-K3RNB9D",0.66,0.57,2358.57,707.571
"22","KELVINATOR","KWH20HRE",0.66,0.57,2358.57,707.571
"23","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,2360.99,708.297
"24","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2360.99,708.297
"25","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,2360.99,708.297
"26","CHIGO","CS-25V3A-PD/CS-25V3A-H5D",0.58,0.58,2366.98,710.094
"27","STIRLING","STR-23RSJAIF",0.52,0.59,2382.59,714.777
"28","TCL","TAC-09CHSA/AKI5",0.52,0.59,2382.59,714.777
"29","TCL","TAC-09CHSA/KaI5",0.52,0.59,2382.59,714.777
"30","TCL","TAC-09CHSA/CII5",0.52,0.59,2382.59,714.777
"31","TCL","TAC-09CHSA/CFI5",0.52,0.59,2382.59,714.777
"32","TCL","TAC-09CHSA/CEI5",0.52,0.59,2382.59,714.777
"33","TCL","TAC-09CHSA/CZI5",0.52,0.59,2382.59,714.777
"34","TCL","TAC-09CHSA/CTI5",0.52,0.59,2382.59,714.777
"35","TCL","TAC-09CHSA/CRI5",0.52,0.59,2382.59,714.777
"36","TCL","TAC-09CHSA/CQI5",0.52,0.59,2382.59,714.777
"37","TCL","TAC-09CHSA/CYI5",0.52,0.59,2382.59,714.777
"38","TCL","TAC-09CHSA/CPI5",0.52,0.59,2382.59,714.777
"39","TCL","TAC-09CHSA/CWI5",0.52,0.59,2382.59,714.777
"40","TCL","TAC-09CHSA/CVI5",0.52,0.59,2382.59,714.777
"41","TCL","TAC-09CHSA/CUI5",0.52,0.59,2382.59,714.777
"42","TCL","TAC-09CHSA/CNI5",0.52,0.59,2382.59,714.777
"43","TCL","TAC-09CHSA/CHI5",0.52,0.59,2382.59,714.777
"44","TCL","TAC-09CHSA/DFI5",0.52,0.59,2382.59,714.777
"45","TCL","TAC-09CHSA/DEI5",0.52,0.59,2382.59,714.777
"46","TCL","TAC-09CHSA/DCI5",0.52,0.59,2382.59,714.777
"47","TCL","TAC-09CHSA/DBI5",0.52,0.59,2382.59,714.777
"48","TCL","TAC-09CHSA/CDI5",0.52,0.59,2382.59,714.777
"49","TCL","TAC-09CHSA/CXI5",0.52,0.59,2382.59,714.777
"50","TCL","TAC-09CHSA/CAI5",0.52,0.59,2382.59,714.777
"51","TCL","TAC-09CHSA/CMI5",0.52,0.59,2382.59,714.777
"52","TCL","TAC-09CHSA/CJI5",0.52,0.59,2382.59,714.777
"53","TCL","TAC-09CHSA/CLI5",0.52,0.59,2382.59,714.777
"54","TCL","TAC-09CHSA/CKI5",0.52,0.59,2382.59,714.777
"55","TCL","TAC-09CHSA/CGI5",0.52,0.59,2382.59,714.777
"56","TCL","TAC-09CHSA/CBI5",0.52,0.59,2382.59,714.777
"57","TCL","TAC-09CHSA/AUI5",0.52,0.59,2382.59,714.777
"58","TCL","TAC-09CHSA/AMI5",0.52,0.59,2382.59,714.777
"59","TCL","TAC-09CHSA/ALI5",0.52,0.59,2382.59,714.777
"60","TCL","TAC-09CHSA/BLI5",0.52,0.59,2382.59,714.777
"61","TCL","TAC-09CHSA/BZI5",0.52,0.59,2382.59,714.777
"62","TCL","TAC-09CHSA/BYI5",0.52,0.59,2382.59,714.777
"63","TCL","TAC-09CHSA/BVI5",0.52,0.59,2382.59,714.777
"64","TCL","TAC-09CHSA/BUI5",0.52,0.59,2382.59,714.777
"65","TCL","TAC-09CHSA/BRI5",0.52,0.59,2382.59,714.777
"66","TCL","TAC-09CHSA/BQI5",0.52,0.59,2382.59,714.777
"67","TCL","TAC-09CHSA/BKI5",0.52,0.59,2382.59,714.777
"68","TCL","TAC-09CHSA/BMI5",0.52,0.59,2382.59,714.777
"69","TCL","TAC-09CHSA/BJI5",0.52,0.59,2382.59,714.777
"70","TCL","TAC-09CHSA/BHI5",0.52,0.59,2382.59,714.777
"71","TCL","TAC-09CHSA/BGI5",0.52,0.59,2382.59,714.777
"72","TCL","TAC-09CHSA/BFI5",0.52,0.59,2382.59,714.777
"73","TCL","TAC-09CHSA/BEI5",0.52,0.59,2382.59,714.777
"74","TCL","TAC-09CHSA/BDI5",0.52,0.59,2382.59,714.777
"75","TCL","TAC-09CHSA/ZI5",0.52,0.59,2382.59,714.777
"76","TCL","TAC-09CHSA/YI5",0.52,0.59,2382.59,714.777
"77","TCL","TAC-09CHSA/VI5",0.52,0.59,2382.59,714.777
"78","TCL","TAC-09CHSA/QI5",0.52,0.59,2382.59,714.777
"79","TCL","TAC-09CHSA/AI5",0.52,0.59,2382.59,714.777
"80","TCL","TAC-09CHSA/RI5",0.52,0.59,2382.59,714.777
"81","TCL","TAC-09CHSA/NI5",0.52,0.59,2382.59,714.777
"82","TCL","TAC-09CHSA/MI5",0.52,0.59,2382.59,714.777
"83","TCL","TAC-09CHSA/LI5",0.52,0.59,2382.59,714.777
"84","TCL","TAC-09CHSA/KI5",0.52,0.59,2382.59,714.777
"85","TCL","TAC-09CHSA/JI5",0.52,0.59,2382.59,714.777
"86","TCL","TAC-09CHSA/HI5",0.52,0.59,2382.59,714.777
"87","TCL","TAC-09CHSA/GI5",0.52,0.59,2382.59,714.777
"88","TCL","TAC-09CHSA/FI5",0.52,0.59,2382.59,714.777
"89","TCL","TAC-09CHSA/EI5",0.52,0.59,2382.59,714.777
"90","TCL","TAC-09CHSA/DI5",0.52,0.59,2382.59,714.777
"91","TCL","TAC-09CHSA/CI5",0.52,0.59,2382.59,714.777
"92","AKAI","TEM-26CHSAAK5",0.52,0.59,2382.59,714.777
"93","AKAI","TEM-26CHSAKA5",0.52,0.59,2382.59,714.777
"94","TCL","TAC-09CHSA/AKI5",0.52,0.59,2382.59,714.777
"95","LENNOX","LNWR21X",0.66,0.578,2388.338,716.5014
"96","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2390.395,717.1185
"97","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2390.395,717.1185
"98","YORK","YCAFZH007BAMAAFX",0.65,0.58,2392.18,717.654
"99","MIDEA","MWF-07HB4",0.66,0.58,2395.78,718.734
"100","LENNOX","LNWR20X",0.66,0.58,2395.78,718.734
"101","TECO","TWW22HFBGJBB",0.66,0.58,2395.78,718.734
"102","TECO","TWW22HFAGJBB",0.66,0.58,2395.78,718.734
"103","Carrier","51QW107715G",0.66,0.58,2395.78,718.734
"104","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,2401.8,720.54
"105","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2409,722.7
"106","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2412.6,723.78
"107","MIDEA","MS1A-09HRFN1-QE0",0.54,0.6,2427,728.1
"108","SAIR","SGT-09",0.54,0.6,2427,728.1
"109","SAIR","SGT-09",0.54,0.6,2427,728.1
"110","MIDEA","MS1A-09HRFN1-QE0",0.54,0.6,2427,728.1
"111","HYUNDAI","HSH-073BE",0.65,0.59,2429.39,728.817
"112","WINIA","WSH-073BE",0.65,0.59,2429.39,728.817
"113","TCL","TAC-09CHSA/ZI4",0.65,0.59,2429.39,728.817
"114","VENTO","TAC-09CHSA/BVI4",0.65,0.59,2429.39,728.817
"115","York","YZHJZH009BAMAAFX",0.65,0.59,2429.39,728.817
"116","DAIKIN","FTXS20L / RXS20L",0.45,0.61,2431.81,729.543
"117","DAIKIN","FTXS20K / RXS20K",0.45,0.61,2431.81,729.543
"118","KELVINATOR","KWH20HRC",0.67,0.59,2436.59,730.977
"119","LENNOX","LNW022X",0.68,0.59,2440.19,732.057
"120","ECLIPSE","EWF-07HRN1",0.68,0.59,2440.19,732.057
"121","MIDEA","MWF-07HMN1-QC1",0.68,0.59,2440.19,732.057
"122","Carrier","51QW007715G",0.68,0.59,2440.19,732.057
"123","Carrier","51QW007716G",0.68,0.59,2440.19,732.057
"124","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,2458.22,737.466
"125","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,2465.42,739.626
"126","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,2465.42,739.626
"127","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,2465.42,739.626
"128","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,2465.42,739.626
"129","Panasonic","CS_CU-E7MKR",0.46,0.62,2472.62,741.786
"130","Panasonic","CS_CU-E7NKR",0.46,0.62,2472.62,741.786
"131","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,2472.62,741.786
"132","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2520.63,756.189
"133","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2520.63,756.189
"134","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2520.63,756.189
"135","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2520.63,756.189
"136","MIDEA","DMORC26DR",0.6,0.62,2523.02,756.906
"137","GALANZ","AUS-07H53R150L1(2)",0.62,0.62,2530.22,759.066
"138","GALANZ","AUS-07H53R150L2(2)",0.62,0.62,2530.22,759.066
"139","GALANZ","AUS-07H53R150L3(2)",0.62,0.62,2530.22,759.066
"140","GALANZ","AUS-07H53R150L4(2)",0.62,0.62,2530.22,759.066
