"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","CARRIER","50PCH006",0.4,0.4,835.6,250.68
"2","CARRIER","50PCV006",0.4,0.4,835.6,250.68
"3","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,846.145,253.8435
"4","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,854.15,256.245
"5","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,854.15,256.245
"6","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,854.15,256.245
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,938.88,281.664
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,938.88,281.664
"9","KELVINATOR","KSV26NRC",0.5,0.52,1069.1,320.73
"10","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1077.89,323.367
"11","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1096.825,329.0475
"12","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1120.84,336.252
"13","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1120.84,336.252
"14","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1120.84,336.252
"15","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1123.38,337.014
"16","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,1134.31,340.293
"17","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1136.85,341.055
"18","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1136.85,341.055
"19","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1140.56,342.168
"20","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1140.56,342.168
"21","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1140.56,342.168
"22","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1140.56,342.168
"23","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1141.73,342.519
"24","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,1151.49,345.447
"25","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,1151.49,345.447
"26","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,1151.49,345.447
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,1152.76,345.828
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,1152.76,345.828
"29","Panasonic","CS_CU-E7MKR",0.46,0.62,1157.74,347.322
"30","Panasonic","CS_CU-E7NKR",0.46,0.62,1157.74,347.322
"31","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1157.74,347.322
"32","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,1158.91,347.673
"33","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,1167.5,350.25
"34","STIRLING","STR-23RSJAIF",0.52,0.59,1172.38,351.714
"35","TCL","TAC-09CHSA/AKI5",0.52,0.59,1172.38,351.714
"36","TCL","TAC-09CHSA/KaI5",0.52,0.59,1172.38,351.714
"37","TCL","TAC-09CHSA/CII5",0.52,0.59,1172.38,351.714
"38","TCL","TAC-09CHSA/CFI5",0.52,0.59,1172.38,351.714
"39","TCL","TAC-09CHSA/CEI5",0.52,0.59,1172.38,351.714
