"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH","Cost"
"1","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMXA-S / SRC20ZMXA-S",0.35,0.45,1462.65,438.795
"2","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZIX-S",0.35,0.45,1462.65,438.795
"3","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJX-S",0.35,0.45,1462.65,438.795
"4","TOSHIBA","RAS-07PKVP-E/PAVP-E",0.355,0.44,1471.125,441.3375
"5","CARRIER","50PCH006",0.4,0.4,1585.2,475.56
"6","CARRIER","50PCV006",0.4,0.4,1585.2,475.56
"7","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK05Z5-S",0.42,0.47,1702.26,510.678
"8","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK17ZMP-S",0.42,0.47,1702.26,510.678
"9","DAIKIN","FTXM20P / RXM20P",0.41,0.59,1760.91,528.273
"10","DAIKIN","FTXZ25N / RXZ25N",0.42,0.62,1815.66,544.698
"11","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK20ZMA-S / SRC20ZMA-S",0.44,0.62,1879.8,563.94
"12","MITSUBISHI HEAVY INDUSTRIES, LTD.","DXK06ZM-S",0.44,0.62,1879.8,563.94
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZG-S",0.44,0.62,1879.8,563.94
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK20ZJ-S1",0.44,0.62,1879.8,563.94
"15","DAIKIN","FTXS20L / RXS20L",0.45,0.61,1904.31,571.293
"16","DAIKIN","FTXS20K / RXS20K",0.45,0.61,1904.31,571.293
"17","LG","K09AWN-NM11/K09AWN-UM11",0.46,0.59,1921.26,576.378
"18","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1921.26,576.378
"19","LG","K09AWN-NM12/K09AWN-UM12",0.46,0.59,1921.26,576.378
"20","Panasonic","CS_CU-E7MKR",0.46,0.62,1943.94,583.182
"21","Panasonic","CS_CU-E7NKR",0.46,0.62,1943.94,583.182
"22","Panasonic","CS-E7PKR/CU-E7PKR",0.46,0.62,1943.94,583.182
"23","TOSHIBA","RAS-10PKVP-E/PAVP-E",0.475,0.56,1946.685,584.0055
"24","SAMSUNG ELECTRONICS","AQV09KWAN/AQV09KWAX",0.47,0.6,1960.89,588.267
"25","KELVINATOR","KSV26NRC",0.5,0.52,1996.62,598.986
"26","Toshiba","RAS-10G2KVP-A + RAS-10G2AVP-A",0.49,0.58,2009.91,602.973
"27","MITSUBISHI HEAVY INDUSTRIES, LTD.","SRK25ZMXA-S / SRC25ZMXA-S",0.49,0.595,2021.25,606.375
"28","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZJX-S",0.49,0.595,2021.25,606.375
"29","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK25ZIX-S",0.49,0.6,2025.03,607.509
"30","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2047.71,614.313
"31","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A",0.49,0.63,2047.71,614.313
"32","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A",0.49,0.63,2047.71,614.313
"33","TOSHIBA","RAS-10SKVP2-A/RAS-10SAVP2-A",0.49,0.63,2047.71,614.313
"34","MITSUBISHI HEAVY INDUSTRIES","SRK25ZDXA-S",0.5,0.6,2057.1,617.13
"35","MITSUBISHI ELECTRIC","MSZ-FH25VE / MUZ-FH25VE",0.51,0.58,2074.05,622.215
"36","MITSUBISHI ELECTRIC","MSZ-FH25VE",0.51,0.58,2074.05,622.215
"37","MITSUBISHI ELECTRIC","MSZ-FH25VEHZ",0.51,0.58,2074.05,622.215
"38","SAMSUNG ELECTRONICS","AR09FSSDHWKN/AR09FSSDHWKX",0.5,0.64,2087.34,626.202
"39","SAMSUNG ELECTRONICS","AR09FSFSDURN/AR09FSFSDURX",0.5,0.64,2087.34,626.202
"40","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2087.34,626.202
"41","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2087.34,626.202
"42","SAMSUNG ELECTRONICS","AR09FSSSCURN/AR09FSSSCURX",0.5,0.64,2087.34,626.202
"43","SAMSUNG ELECTRONICS","AR09FSSSCWKN/AR09FSSSCWKX",0.5,0.64,2087.34,626.202
"44","SAMSUNG ELECTRONICS","AR09FSSSBWKN/AR09FSSSBWKX",0.5,0.64,2087.34,626.202
"45","STIRLING","STR-23RSJAIF",0.52,0.59,2113.68,634.104
"46","TCL","TAC-09CHSA/AKI5",0.52,0.59,2113.68,634.104
"47","TCL","TAC-09CHSA/KaI5",0.52,0.59,2113.68,634.104
"48","TCL","TAC-09CHSA/CII5",0.52,0.59,2113.68,634.104
"49","TCL","TAC-09CHSA/CFI5",0.52,0.59,2113.68,634.104
"50","TCL","TAC-09CHSA/CEI5",0.52,0.59,2113.68,634.104
"51","TCL","TAC-09CHSA/CZI5",0.52,0.59,2113.68,634.104
"52","TCL","TAC-09CHSA/CTI5",0.52,0.59,2113.68,634.104
"53","TCL","TAC-09CHSA/CRI5",0.52,0.59,2113.68,634.104
"54","TCL","TAC-09CHSA/CQI5",0.52,0.59,2113.68,634.104
"55","TCL","TAC-09CHSA/CYI5",0.52,0.59,2113.68,634.104
"56","TCL","TAC-09CHSA/CPI5",0.52,0.59,2113.68,634.104
"57","TCL","TAC-09CHSA/CWI5",0.52,0.59,2113.68,634.104
"58","TCL","TAC-09CHSA/CVI5",0.52,0.59,2113.68,634.104
"59","TCL","TAC-09CHSA/CUI5",0.52,0.59,2113.68,634.104
"60","TCL","TAC-09CHSA/CNI5",0.52,0.59,2113.68,634.104
"61","TCL","TAC-09CHSA/CHI5",0.52,0.59,2113.68,634.104
"62","TCL","TAC-09CHSA/DFI5",0.52,0.59,2113.68,634.104
